iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-19,-27,-45,-53,-26,-26,-35,-26,-18,-18,-24,-106,-25,-12,-58,-61,-74,-26,-13,-9,-23,-25,-43,-41,-20,-42,-38,-67,-19,-43,-24,-38,-55,-11,-18,-47,-21,-19,-16,-47,-42,-39,-26,-22,-38,-26,-51,-42,-9,-16,-39,-23,-31,-30,-29,-17,-24,-15,-27,-36,-29,-33,-13,-32,-26,-24,-28,-28,-43,-30,-19,-29,-4,-9,-31,-21,-23,-45,-76,-5,-8,-34,-46,-28,-38,-19,-23,-45,-15,-11,-36,-29,-38,-23,-42,-20,-35,-23,-27,-22
1,-321.55,-329.55,-347.55,-355.55,-328.55,-328.55,-337.55,-328.55,-320.55,-320.55,-326.55,-408.55,-327.55,-314.55,-360.55,-363.55,-376.55,-328.55,-315.55,-311.55,-325.55,-327.55,-345.55,-343.55,-322.55,-344.55,-340.55,-369.55,-321.55,-345.55,-326.55,-340.55,-357.55,-313.55,-320.55,-349.55,-323.55,-321.55,-318.55,-349.55,-344.55,-341.55,-328.55,-324.55,-340.55,-328.55,-353.55,-344.55,-311.55,-318.55,-341.55,-325.55,-333.55,-332.55,-331.55,-319.55,-326.55,-317.55,-329.55,-338.55,-331.55,-335.55,-315.55,-334.55,-328.55,-326.55,-330.55,-330.55,-345.55,-332.55,-321.55,-331.55,-306.55,-311.55,-333.55,-323.55,-325.55,-347.55,-378.55,-307.55,-310.55,-336.55,-348.55,-330.55,-340.55,-321.55,-325.55,-347.55,-317.55,-313.55,-338.55,-331.55,-340.55,-325.55,-344.55,-322.55,-337.55,-325.55,-329.55,-324.55
2,-321.55,-358.15,-318.95,-183.95,-328.55,-299.95,-308.95,-299.95,-349.15,-349.15,-355.15,-265.55,-356.15,-343.15,-274.75,-306.35,-319.35,-357.15,-344.15,-340.15,-354.15,-356.15,-288.35,-257.75,-351.15,-373.15,-340.55,-226.55,-350.15,-288.35,-269.35,-311.95,-271.75,-342.15,-320.55,-263.75,-352.15,-321.55,-347.15,-320.95,-344.55,-312.95,-328.55,-353.15,-340.55,-328.55,-353.55,-344.55,-340.15,-347.15,-227.15,-268.35,-304.95,-332.55,-331.55,-348.15,-355.15,-346.15,-329.55,-309.95,-331.55,-278.35,-344.15,-334.55,-328.55,-297.95,-301.95,-330.55,-316.95,-332.55,-350.15,-302.95,-335.15,-340.15,-304.95,-352.15,-325.55,-318.95,-292.75,-336.15,-339.15,-365.15,-319.95,-359.15,-283.35,-350.15,-354.15,-233.15,-346.15,-342.15,-252.75,-331.55,-311.95,-325.55,-344.55,-351.15,-366.15,-325.55,-358.15,-324.55
3,-321.55,-282.41,-356.82,-221.82,-290.68,-337.82,-308.95,-337.82,-197.66,-311.28,-317.28,-303.42,-356.15,-343.15,-312.62,-344.22,-281.48,-319.28,-344.15,-226.53,-354.15,-356.15,-326.22,-295.62,-161.79,-411.02,-340.55,-264.42,-350.15,-326.22,-307.22,-311.95,-309.62,-304.28,-282.68,-301.62,-390.02,-359.42,-233.53,-358.82,-344.55,-312.95,-290.68,-315.28,-302.68,-328.55,-353.55,-344.55,-302.28,-271.41,-265.02,-306.22,-342.82,-294.68,-331.55,-272.41,-279.41,-232.53,-329.55,-347.82,-255.81,-316.22,-344.15,-334.55,-290.68,-335.82,-301.95,-292.68,-316.95,-332.55,-274.41,-302.95,-335.15,-302.28,-342.82,-352.15,-325.55,-356.82,-330.62,-260.41,-225.53,-365.15,-319.95,-321.28,-321.22,-312.28,-316.28,-271.02,-384.02,-304.28,-290.62,-331.55,-311.95,-325.55,-344.55,-199.66,-328.28,-325.55,-244.53,-286.68
4,-285.54,-318.42,-212.78,-257.84,-326.69,-265.8,-308.95,-229.79,-233.67,-311.28,-353.29,-303.42,-356.15,-307.14,-348.64,-308.21,-317.49,-319.28,-308.14,-262.54,-354.15,-356.15,-254.2,-331.64,-197.8,-375.01,-304.54,-300.44,-314.14,-254.2,-343.23,-311.95,-273.61,-304.28,-282.68,-337.64,-426.03,-251.39,-269.54,-250.79,-308.54,-312.95,-326.69,-351.29,-302.68,-328.55,-281.53,-308.54,-338.29,-307.42,-301.04,-234.2,-270.8,-330.69,-295.54,-308.42,-315.42,-268.54,-329.55,-275.8,-291.82,-352.23,-344.15,-262.53,-326.69,-191.78,-301.95,-328.69,-280.94,-332.55,-310.42,-302.95,-299.14,-338.29,-162.76,-316.14,-253.53,-284.8,-294.61,-296.42,-261.54,-329.14,-319.95,-321.28,-249.2,-348.29,-280.27,-307.04,-420.03,-304.28,-326.64,-331.55,-275.94,-289.54,-308.54,-235.67,-292.27,-325.55,-280.54,-322.69
5,-312.06,-291.9,-239.29,-284.36,-194.09,-292.32,-255.91,-256.31,-260.19,-311.28,-326.77,-303.42,-356.15,-333.66,-216.04,-308.21,-264.45,-345.8,-334.66,-289.06,-354.15,-356.15,-280.72,-225.56,-224.32,-375.01,-331.06,-273.92,-314.14,-280.72,-157.6,-285.43,-300.13,-277.76,-282.68,-284.6,-399.51,-277.91,-296.06,-277.31,-335.06,-286.43,-300.17,-324.77,-329.2,-275.51,-308.05,-308.54,-258.73,-307.42,-327.55,-260.72,-297.32,-304.17,-295.54,-308.42,-288.9,-295.06,-329.55,-302.32,-318.34,-246.16,-317.63,-289.05,-273.65,-218.29,-301.95,-275.65,-307.46,-332.55,-283.9,-276.43,-299.14,-311.77,-189.28,-316.14,-280.05,-311.32,-294.61,-296.42,-288.06,-329.14,-293.43,-347.8,-275.72,-321.77,-306.78,-280.52,-393.51,-330.8,-220.56,-331.55,-302.46,-316.06,-308.54,-262.19,-318.78,-299.03,-307.06,-269.65
6,-233.13,-291.9,-278.76,-323.82,-233.56,-331.78,-295.38,-295.77,-299.66,-271.81,-247.84,-263.96,-316.69,-294.19,-255.5,-308.21,-303.92,-306.33,-295.19,-289.06,-354.15,-356.15,-320.18,-265.02,-263.78,-335.55,-291.59,-313.38,-314.14,-320.18,-197.07,-285.43,-260.67,-317.22,-282.68,-324.06,-360.05,-317.37,-217.13,-316.77,-295.59,-286.43,-260.71,-285.31,-250.27,-314.98,-347.51,-308.54,-298.2,-267.95,-169.7,-300.18,-297.32,-264.71,-295.54,-229.49,-328.36,-216.13,-329.55,-302.32,-199.94,-285.62,-278.17,-328.51,-313.12,-257.76,-262.49,-315.12,-228.53,-293.09,-283.9,-315.9,-299.14,-272.31,-228.75,-276.67,-280.05,-232.39,-294.61,-256.95,-288.06,-289.67,-332.9,-268.87,-315.18,-282.31,-267.32,-319.98,-432.98,-291.33,-260.02,-331.55,-262.99,-276.59,-308.54,-301.66,-279.32,-220.1,-267.6,-309.12
7,-254.29,-313.06,-299.92,-218.03,-254.72,-268.31,-253.06,-295.77,-299.66,-292.97,-269.0,-285.12,-295.53,-315.35,-276.66,-308.21,-261.6,-306.33,-316.35,-267.91,-354.15,-334.99,-277.87,-286.18,-284.94,-356.7,-312.75,-249.91,-314.14,-277.87,-218.22,-285.43,-281.82,-274.91,-282.68,-281.75,-381.21,-317.37,-238.29,-295.61,-316.75,-286.43,-281.86,-306.46,-271.43,-293.82,-305.19,-308.54,-277.04,-289.11,-190.85,-236.71,-297.32,-285.86,-274.38,-250.65,-286.05,-237.29,-329.55,-302.32,-221.1,-306.78,-299.32,-286.19,-270.8,-278.92,-283.64,-272.8,-249.69,-293.09,-283.9,-231.26,-299.14,-293.46,-249.9,-297.83,-280.05,-253.55,-294.61,-278.11,-288.06,-310.83,-248.26,-290.03,-251.71,-303.46,-288.48,-235.35,-411.82,-312.49,-281.18,-310.39,-284.15,-297.75,-308.54,-259.34,-300.48,-241.26,-267.6,-224.48
8,-284.84,-251.96,-269.37,-248.58,-285.27,-298.86,-283.61,-204.12,-238.56,-262.42,-299.55,-285.12,-326.08,-284.8,-307.21,-277.66,-292.15,-306.33,-316.35,-298.46,-323.6,-304.44,-308.42,-225.08,-284.94,-326.15,-282.2,-280.46,-314.14,-308.42,-248.77,-285.43,-312.37,-274.91,-252.13,-251.2,-411.76,-317.37,-268.84,-265.06,-286.2,-225.33,-281.86,-275.91,-301.98,-232.72,-244.1,-308.54,-277.04,-258.56,-221.4,-267.26,-266.77,-255.31,-274.38,-281.2,-286.05,-267.84,-299.0,-271.77,-251.65,-184.58,-299.32,-316.74,-301.35,-309.47,-253.09,-303.35,-280.24,-293.09,-283.9,-261.81,-268.59,-262.91,-280.45,-267.28,-280.05,-284.1,-294.61,-278.11,-257.51,-280.28,-278.81,-290.03,-282.26,-272.91,-288.48,-265.9,-381.27,-281.94,-220.08,-310.39,-223.05,-297.75,-277.99,-289.89,-269.93,-271.81,-298.15,-255.03
9,-284.84,-272.32,-289.73,-268.95,-264.9,-237.76,-263.24,-224.49,-258.92,-282.79,-299.55,-264.75,-305.71,-284.8,-205.38,-277.66,-231.05,-306.33,-316.35,-237.36,-323.6,-304.44,-247.32,-245.45,-264.58,-326.15,-302.57,-260.09,-314.14,-247.32,-269.14,-285.43,-251.27,-274.91,-272.49,-271.56,-371.02,-317.37,-268.84,-285.43,-306.57,-245.7,-302.23,-275.91,-261.24,-253.09,-264.46,-288.17,-277.04,-278.93,-241.77,-226.53,-287.13,-275.68,-294.75,-260.83,-286.05,-288.21,-299.0,-292.13,-272.02,-204.95,-278.96,-276.01,-260.62,-207.63,-273.46,-282.98,-259.87,-293.09,-283.9,-282.18,-288.95,-283.28,-260.09,-287.65,-280.05,-284.1,-294.61,-278.11,-277.88,-280.28,-258.45,-290.03,-241.53,-293.28,-288.48,-286.27,-401.64,-302.31,-240.45,-290.03,-243.42,-277.38,-298.36,-289.89,-290.29,-292.18,-277.78,-275.4
