set j job /0*1599/;
set i machine /0*79/;
parameter c(i,j)/
0. 0 80
0. 1 139
0. 2 998
0. 3 102
0. 4 134
0. 5 30
0. 6 115
0. 7 60
0. 8 329
0. 9 990
0. 10 133
0. 11 194
0. 12 69
0. 13 101
0. 14 50
0. 15 495
0. 16 78
0. 17 248
0. 18 55
0. 19 190
0. 20 121
0. 21 492
0. 22 73
0. 23 119
0. 24 192
0. 25 51
0. 26 996
0. 27 327
0. 28 331
0. 29 241
0. 30 160
0. 31 992
0. 32 193
0. 33 249
0. 34 20
0. 35 80
0. 36 495
0. 37 243
0. 38 998
0. 39 92
0. 40 58
0. 41 490
0. 42 67
0. 43 84
0. 44 90
0. 45 109
0. 46 991
0. 47 993
0. 48 70
0. 49 325
0. 50 140
0. 51 197
0. 52 63
0. 53 241
0. 54 496
0. 55 31
0. 56 28
0. 57 990
0. 58 40
0. 59 200
0. 60 995
0. 61 164
0. 62 15
0. 63 115
0. 64 998
0. 65 65
0. 66 490
0. 67 163
0. 68 96
0. 69 66
0. 70 67
0. 71 62
0. 72 33
0. 73 493
0. 74 103
0. 75 328
0. 76 993
0. 77 120
0. 78 327
0. 79 132
0. 80 193
0. 81 994
0. 82 89
0. 83 326
0. 84 159
0. 85 54
0. 86 58
0. 87 137
0. 88 17
0. 89 70
0. 90 39
0. 91 156
0. 92 57
0. 93 30
0. 94 330
0. 95 48
0. 96 192
0. 97 50
0. 98 244
0. 99 63
0. 100 240
0. 101 991
0. 102 52
0. 103 162
0. 104 192
0. 105 323
0. 106 35
0. 107 110
0. 108 249
0. 109 999
0. 110 248
0. 111 493
0. 112 25
0. 113 67
0. 114 99
0. 115 326
0. 116 328
0. 117 52
0. 118 39
0. 119 132
0. 120 29
0. 121 997
0. 122 195
0. 123 197
0. 124 22
0. 125 44
0. 126 39
0. 127 124
0. 128 244
0. 129 247
0. 130 247
0. 131 61
0. 132 494
0. 133 124
0. 134 192
0. 135 999
0. 136 326
0. 137 156
0. 138 138
0. 139 244
0. 140 329
0. 141 191
0. 142 993
0. 143 110
0. 144 325
0. 145 49
0. 146 74
0. 147 494
0. 148 199
0. 149 12
0. 150 121
0. 151 136
0. 152 74
0. 153 47
0. 154 109
0. 155 157
0. 156 105
0. 157 52
0. 158 32
0. 159 120
0. 160 240
0. 161 79
0. 162 49
0. 163 66
0. 164 136
0. 165 196
0. 166 156
0. 167 330
0. 168 992
0. 169 323
0. 170 993
0. 171 331
0. 172 17
0. 173 104
0. 174 496
0. 175 67
0. 176 192
