iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,1693.0,1724,1693.0,1724,0.018,,
1,1512.0,8895,1693.0,1724,0.018,_3_10_27_35_37_43_50_53_57_73_91_92_95,
2,1522.0,9040,1693.0,1724,0.018,_1_12_15_16_20_21_36_42_55_63_90_94_98,
3,1609.667,5819,1693.0,1724,0.018,_12_20_25_41_96_98,
4,1635.0,6316,1693.0,1724,0.018,_1_12_46_63_74_88_98,
5,1655.5,4523,1693.0,1724,0.018,_12_25_42,
6,1665.333,4927,1693.0,1724,0.018,_12_27_68_96,
7,1676.048,5451,1693.0,1724,0.018,_2_12_41_63_74,
8,1680.369,4979,1693.0,1724,0.018,_1_25_42_68,
9,1684.19,5001,1693.0,1724,0.018,_12_74_97_98,
10,1689.238,4134,1693.0,1724,0.018,_25_41,
11,1692.276,4172,1693.0,1724,0.018,_1_74,
12,1692.929,5070,1693.0,1724,0.018,_25_41_42_98,
13,1695.364,3738,1695.364,1724,0.017,_88,
14,1695.503,4755,1695.503,1724,0.017,_41_74_98,
15,1696.724,3816,1696.724,1724,0.016,_74,
16,1696.433,4282,1696.724,1724,0.016,_41_98,
17,1696.993,3773,1696.993,1724,0.016,_53,
18,1696.606,4768,1696.993,1724,0.016,_41_74_98,
19,1697.233,4247,1697.233,1724,0.016,_53_74,
20,1696.728,4282,1697.233,1724,0.016,_41_98,
21,1697.336,3796,1697.336,1724,0.015,_53,
22,1696.846,4768,1697.336,1724,0.015,_41_74_98,
23,1697.475,4266,1697.475,1724,0.015,_53_74,
24,1696.926,4282,1697.475,1724,0.015,_41_98,
25,1697.522,3786,1697.522,1724,0.015,_53,
26,1697.013,4768,1697.522,1724,0.015,_41_74_98,
27,1697.57,3826,1697.57,1724,0.015,_74,
28,1697.358,4298,1697.57,1724,0.015,_41_98,
29,1697.586,3340,1697.586,1724,0.015,,
30,1697.414,4784,1697.586,1724,0.015,_41_74_98,
31,1697.618,3826,1697.618,1724,0.015,_74,
32,1697.445,4298,1697.618,1724,0.015,_41_98,
33,1697.628,3340,1697.628,1724,0.015,,
34,1697.49,4784,1697.628,1724,0.015,_41_74_98,
35,1697.653,3340,1697.653,1724,0.015,,
36,1697.514,4784,1697.653,1724,0.015,_41_74_98,
37,1697.662,3826,1697.662,1724,0.015,_74,
38,1697.548,4298,1697.662,1724,0.015,_41_98,
39,1697.682,3340,1697.682,1724,0.015,,
40,1697.568,4784,1697.682,1724,0.015,_41_74_98,
41,1697.689,3826,1697.689,1724,0.015,_74,
42,1697.597,4298,1697.689,1724,0.015,_41_98,
43,1697.705,3826,1697.705,1724,0.015,_74,
44,1697.61,3813,1697.705,1724,0.015,_98,
45,1697.714,3825,1697.714,1724,0.015,_41,
46,1697.627,4784,1697.714,1724,0.015,_41_74_98,
47,1697.734,3340,1697.734,1724,0.015,,
48,1697.638,4299,1697.734,1724,0.015,_74_98,
49,1697.741,4311,1697.741,1724,0.015,_41_74,
50,1697.653,4298,1697.741,1724,0.015,_41_98,
51,1697.759,3826,1697.759,1724,0.015,_74,
52,1697.662,3813,1697.759,1724,0.015,_98,
53,1697.765,3825,1697.765,1724,0.015,_41,
54,1697.675,4784,1697.765,1724,0.015,_41_74_98,
55,1697.78,3340,1697.78,1724,0.015,,
56,1697.683,4299,1697.78,1724,0.015,_74_98,
57,1697.785,4311,1697.785,1724,0.015,_41_74,
58,1697.693,4298,1697.785,1724,0.015,_41_98,
59,1697.798,3826,1697.798,1724,0.015,_74,
60,1697.701,3813,1697.798,1724,0.015,_98,
61,1697.802,3825,1697.802,1724,0.015,_41,
62,1697.71,4784,1697.802,1724,0.015,_41_74_98,
63,1697.814,3826,1697.814,1724,0.015,_74,
64,1697.716,3813,1697.814,1724,0.015,_98,
65,1697.817,3825,1697.817,1724,0.015,_41,
66,1697.724,4784,1697.817,1724,0.015,_41_74_98,
67,1697.828,3340,1697.828,1724,0.015,,
68,1697.73,4299,1697.828,1724,0.015,_74_98,
69,1697.831,4311,1697.831,1724,0.015,_41_74,
70,1697.737,4298,1697.831,1724,0.015,_41_98,
71,1697.84,3340,1697.84,1724,0.015,,
72,1697.743,4299,1697.84,1724,0.015,_74_98,
73,1697.843,4311,1697.843,1724,0.015,_41_74,
74,1697.748,4298,1697.843,1724,0.015,_41_98,
75,1697.852,3826,1697.852,1724,0.015,_74,
76,1697.754,4298,1697.852,1724,0.015,_41_98,
77,1697.853,3340,1697.853,1724,0.015,,
78,1697.759,4299,1697.853,1724,0.015,_74_98,
79,1697.862,3825,1697.862,1724,0.015,_41,
80,1697.763,4299,1697.862,1724,0.015,_74_98,
81,1697.863,4311,1697.863,1724,0.015,_41_74,
82,1697.768,4298,1697.863,1724,0.015,_41_98,
83,1697.87,3826,1697.87,1724,0.015,_74,
84,1697.772,3813,1697.87,1724,0.015,_98,
85,1697.872,3825,1697.872,1724,0.015,_41,
86,1697.776,4784,1697.872,1724,0.015,_41_74_98,
87,1697.879,3826,1697.879,1724,0.015,_74,
88,1697.78,4298,1697.879,1724,0.015,_41_98,
89,1697.88,3340,1697.88,1724,0.015,,
90,1697.784,4299,1697.88,1724,0.015,_74_98,
91,1697.886,3825,1697.886,1724,0.015,_41,
92,1697.788,4299,1697.886,1724,0.015,_74_98,
93,1697.887,4311,1697.887,1724,0.015,_41_74,
94,1697.791,4298,1697.887,1724,0.015,_41_98,
95,1697.893,3340,1697.893,1724,0.015,,
96,1697.795,4784,1697.893,1724,0.015,_41_74_98,
97,1697.894,3826,1697.894,1724,0.015,_74,
98,1697.798,3813,1697.894,1724,0.015,_98,
99,1697.899,4311,1697.899,1724,0.015,_41_74,
Running time: 9.73 sec
