set j job /0*99/;
set i machine /0*4/;
parameter c(i,j)/
0. 0 36
0. 1 46
0. 2 34
0. 3 25
0. 4 29
0. 5 17
0. 6 15
0. 7 29
0. 8 38
0. 9 50
0. 10 39
0. 11 50
0. 12 37
0. 13 39
0. 14 25
0. 15 13
0. 16 11
0. 17 11
0. 18 32
0. 19 50
0. 20 23
0. 21 44
0. 22 15
0. 23 25
0. 24 42
0. 25 13
0. 26 41
0. 27 31
0. 28 16
0. 29 44
0. 30 49
0. 31 25
0. 32 31
0. 33 14
0. 34 45
0. 35 44
0. 36 36
0. 37 50
0. 38 49
0. 39 30
0. 40 15
0. 41 22
0. 42 31
0. 43 45
0. 44 40
0. 45 41
0. 46 22
0. 47 34
0. 48 13
0. 49 26
0. 50 14
0. 51 34
0. 52 31
0. 53 22
0. 54 47
0. 55 37
0. 56 42
0. 57 47
0. 58 42
0. 59 24
0. 60 32
0. 61 25
0. 62 41
0. 63 40
0. 64 35
0. 65 20
0. 66 43
0. 67 10
0. 68 29
0. 69 28
0. 70 30
0. 71 23
0. 72 20
0. 73 28
0. 74 26
0. 75 47
0. 76 46
0. 77 30
0. 78 18
0. 79 47
0. 80 17
0. 81 17
0. 82 40
0. 83 45
0. 84 43
0. 85 44
0. 86 48
0. 87 24
0. 88 48
0. 89 23
0. 90 38
0. 91 45
0. 92 27
0. 93 36
0. 94 20
0. 95 11
0. 96 26
0. 97 35
0. 98 27
0. 99 41
1. 0 12
1. 1 33
1. 2 26
1. 3 10
1. 4 32
1. 5 49
1. 6 46
1. 7 44
1. 8 41
1. 9 49
1. 10 41
1. 11 45
1. 12 43
1. 13 44
1. 14 24
1. 15 14
1. 16 17
1. 17 21
1. 18 32
1. 19 39
1. 20 25
1. 21 29
1. 22 28
1. 23 38
1. 24 38
1. 25 12
1. 26 17
1. 27 42
1. 28 22
1. 29 43
1. 30 31
1. 31 47
1. 32 15
1. 33 10
1. 34 40
1. 35 12
1. 36 39
1. 37 34
1. 38 28
1. 39 23
1. 40 35
1. 41 46
1. 42 48
1. 43 40
1. 44 29
1. 45 13
1. 46 38
1. 47 37
1. 48 14
1. 49 16
1. 50 30
1. 51 32
1. 52 20
1. 53 37
1. 54 48
1. 55 32
1. 56 48
1. 57 38
1. 58 41
1. 59 11
1. 60 49
1. 61 35
1. 62 43
1. 63 19
1. 64 10
1. 65 19
1. 66 45
1. 67 32
1. 68 28
1. 69 23
1. 70 23
1. 71 11
1. 72 23
1. 73 40
1. 74 14
1. 75 21
1. 76 44
1. 77 41
1. 78 25
1. 79 41
1. 80 40
1. 81 41
1. 82 42
1. 83 13
1. 84 45
1. 85 31
1. 86 43
1. 87 13
1. 88 20
1. 89 25
1. 90 30
1. 91 19
1. 92 10
1. 93 10
