set j job /0*399/;
set i machine /0*39/;
parameter c(i,j)/
0. 0 79
0. 1 70
0. 2 12
0. 3 62
0. 4 61
0. 5 102
0. 6 66
0. 7 82
0. 8 24
0. 9 17
0. 10 47
0. 11 47
0. 12 89
0. 13 76
0. 14 99
0. 15 11
0. 16 72
0. 17 50
0. 18 93
0. 19 35
0. 20 71
0. 21 13
0. 22 74
0. 23 67
0. 24 42
0. 25 87
0. 26 21
0. 27 30
0. 28 34
0. 29 43
0. 30 45
0. 31 24
0. 32 43
0. 33 48
0. 34 113
0. 35 71
0. 36 26
0. 37 29
0. 38 17
0. 39 76
0. 40 93
0. 41 18
0. 42 79
0. 43 80
0. 44 80
0. 45 74
0. 46 16
0. 47 8
0. 48 83
0. 49 37
0. 50 48
0. 51 54
0. 52 95
0. 53 38
0. 54 19
0. 55 104
0. 56 101
0. 57 21
0. 58 91
0. 59 44
0. 60 17
0. 61 49
0. 62 118
0. 63 58
0. 64 13
0. 65 80
0. 66 17
0. 67 43
0. 68 67
0. 69 89
0. 70 85
0. 71 80
0. 72 97
0. 73 20
0. 74 64
0. 75 35
0. 76 13
0. 77 67
0. 78 27
0. 79 70
0. 80 40
0. 81 27
0. 82 85
0. 83 39
0. 84 60
0. 85 97
0. 86 79
0. 87 62
0. 88 104
0. 89 87
0. 90 92
0. 91 50
0. 92 84
0. 93 113
0. 94 31
0. 95 101
0. 96 40
0. 97 96
0. 98 36
0. 99 75
0. 100 46
0. 101 20
0. 102 89
0. 103 60
0. 104 42
0. 105 44
0. 106 93
0. 107 74
0. 108 40
0. 109 11
0. 110 47
0. 111 25
0. 112 115
0. 113 75
0. 114 69
0. 115 39
0. 116 46
0. 117 99
0. 118 93
0. 119 53
0. 120 108
0. 121 17
0. 122 55
0. 123 35
0. 124 103
0. 125 96
0. 126 99
0. 127 65
0. 128 31
0. 129 41
0. 130 39
0. 131 77
0. 132 18
0. 133 60
0. 134 40
0. 135 13
0. 136 40
0. 137 48
0. 138 57
0. 139 31
0. 140 25
0. 141 57
0. 142 6
0. 143 56
0. 144 28
0. 145 97
0. 146 90
0. 147 31
0. 148 48
0. 149 110
0. 150 71
0. 151 62
0. 152 88
0. 153 99
0. 154 79
0. 155 63
0. 156 77
0. 157 97
0. 158 112
0. 159 60
0. 160 50
0. 161 73
0. 162 88
0. 163 77
0. 164 58
0. 165 41
0. 166 47
0. 167 33
0. 168 24
0. 169 26
0. 170 14
0. 171 37
0. 172 112
0. 173 70
0. 174 33
0. 175 79
0. 176 46
0. 177 75
0. 178 7
0. 179 89
0. 180 35
0. 181 86
0. 182 74
0. 183 31
0. 184 72
