set j job /0*199/;
set i machine /0*4/;
parameter c(i,j)/
0. 0 40
0. 1 34
0. 2 38
0. 3 42
0. 4 50
0. 5 28
0. 6 31
0. 7 29
0. 8 43
0. 9 14
0. 10 24
0. 11 28
0. 12 29
0. 13 40
0. 14 14
0. 15 44
0. 16 15
0. 17 11
0. 18 33
0. 19 26
0. 20 25
0. 21 35
0. 22 46
0. 23 44
0. 24 14
0. 25 37
0. 26 12
0. 27 21
0. 28 36
0. 29 16
0. 30 32
0. 31 33
0. 32 45
0. 33 27
0. 34 20
0. 35 14
0. 36 34
0. 37 45
0. 38 29
0. 39 41
0. 40 24
0. 41 17
0. 42 35
0. 43 11
0. 44 12
0. 45 39
0. 46 15
0. 47 40
0. 48 10
0. 49 15
0. 50 15
0. 51 50
0. 52 27
0. 53 17
0. 54 41
0. 55 33
0. 56 41
0. 57 40
0. 58 20
0. 59 50
0. 60 30
0. 61 48
0. 62 39
0. 63 50
0. 64 24
0. 65 26
0. 66 20
0. 67 35
0. 68 29
0. 69 35
0. 70 39
0. 71 12
0. 72 12
0. 73 17
0. 74 48
0. 75 19
0. 76 24
0. 77 22
0. 78 48
0. 79 47
0. 80 44
0. 81 15
0. 82 38
0. 83 48
0. 84 38
0. 85 12
0. 86 16
0. 87 21
0. 88 42
0. 89 47
0. 90 48
0. 91 38
0. 92 45
0. 93 15
0. 94 28
0. 95 43
0. 96 50
0. 97 41
0. 98 48
0. 99 11
0. 100 33
0. 101 19
0. 102 15
0. 103 29
0. 104 40
0. 105 45
0. 106 10
0. 107 48
0. 108 39
0. 109 28
0. 110 21
0. 111 34
0. 112 18
0. 113 16
0. 114 17
0. 115 17
0. 116 38
0. 117 26
0. 118 23
0. 119 49
0. 120 22
0. 121 22
0. 122 49
0. 123 11
0. 124 16
0. 125 43
0. 126 24
0. 127 38
0. 128 17
0. 129 27
0. 130 44
0. 131 30
0. 132 49
0. 133 26
0. 134 27
0. 135 10
0. 136 43
0. 137 39
0. 138 46
0. 139 31
0. 140 35
0. 141 22
0. 142 38
0. 143 47
0. 144 21
0. 145 47
0. 146 44
0. 147 13
0. 148 12
0. 149 30
0. 150 28
0. 151 38
0. 152 11
0. 153 39
0. 154 33
0. 155 16
0. 156 46
0. 157 19
0. 158 47
0. 159 23
0. 160 47
0. 161 10
0. 162 48
0. 163 35
0. 164 42
0. 165 15
0. 166 17
0. 167 40
0. 168 23
0. 169 47
0. 170 48
0. 171 46
0. 172 35
0. 173 19
0. 174 33
0. 175 12
0. 176 45
0. 177 49
0. 178 20
0. 179 30
0. 180 30
0. 181 48
0. 182 29
0. 183 29
0. 184 21
0. 185 40
0. 186 22
0. 187 36
0. 188 36
0. 189 46
0. 190 29
0. 191 21
0. 192 41
0. 193 45
0. 194 30
0. 195 30
0. 196 23
0. 197 32
0. 198 41
0. 199 35
1. 0 44
1. 1 26
1. 2 46
1. 3 23
1. 4 24
1. 5 44
1. 6 16
1. 7 13
1. 8 24
1. 9 29
1. 10 26
1. 11 40
1. 12 42
1. 13 30
1. 14 20
1. 15 20
1. 16 48
1. 17 36
1. 18 13
1. 19 33
1. 20 15
1. 21 29
1. 22 17
1. 23 18
1. 24 48
1. 25 14
1. 26 14
1. 27 36
1. 28 47
1. 29 12
1. 30 29
1. 31 35
1. 32 34
1. 33 42
1. 34 44
1. 35 36
1. 36 34
1. 37 48
1. 38 32
1. 39 12
1. 40 39
1. 41 27
1. 42 31
1. 43 35
1. 44 44
1. 45 17
1. 46 29
1. 47 50
1. 48 31
1. 49 27
1. 50 15
1. 51 27
1. 52 15
1. 53 48
1. 54 11
1. 55 34
1. 56 17
1. 57 30
1. 58 39
1. 59 14
1. 60 50
1. 61 20
1. 62 24
1. 63 36
1. 64 25
1. 65 27
1. 66 18
1. 67 15
1. 68 17
1. 69 34
1. 70 37
1. 71 13
1. 72 30
1. 73 29
1. 74 21
1. 75 25
1. 76 35
1. 77 16
1. 78 34
1. 79 34
1. 80 15
1. 81 41
1. 82 11
1. 83 20
1. 84 33
1. 85 26
1. 86 47
1. 87 10
1. 88 45
1. 89 33
1. 90 37
1. 91 25
1. 92 13
1. 93 50
1. 94 26
1. 95 34
1. 96 32
1. 97 26
1. 98 39
1. 99 29
1. 100 10
1. 101 10
1. 102 21
1. 103 13
1. 104 46
1. 105 49
1. 106 36
1. 107 39
1. 108 19
1. 109 48
1. 110 11
1. 111 47
1. 112 28
1. 113 14
1. 114 41
