set j job /0*1599/;
set i machine /0*39/;
parameter c(i,j)/
0. 0 88
0. 1 137
0. 2 1000
0. 3 101
0. 4 139
0. 5 33
0. 6 120
0. 7 64
0. 8 331
0. 9 996
0. 10 141
0. 11 192
0. 12 64
0. 13 102
0. 14 48
0. 15 495
0. 16 82
0. 17 248
0. 18 59
0. 19 198
0. 20 118
0. 21 494
0. 22 72
0. 23 122
0. 24 196
0. 25 50
0. 26 991
0. 27 326
0. 28 323
0. 29 248
0. 30 162
0. 31 999
0. 32 196
0. 33 246
0. 34 19
0. 35 85
0. 36 490
0. 37 248
0. 38 990
0. 39 91
0. 40 58
0. 41 497
0. 42 69
0. 43 85
0. 44 97
0. 45 107
0. 46 995
0. 47 999
0. 48 68
0. 49 328
0. 50 133
0. 51 198
0. 52 67
0. 53 245
0. 54 495
0. 55 37
0. 56 34
0. 57 994
0. 58 37
0. 59 196
0. 60 990
0. 61 159
0. 62 13
0. 63 115
0. 64 995
0. 65 62
0. 66 492
0. 67 159
0. 68 96
0. 69 75
0. 70 67
0. 71 64
0. 72 32
0. 73 494
0. 74 107
0. 75 326
0. 76 998
0. 77 120
0. 78 328
0. 79 133
0. 80 198
0. 81 996
0. 82 80
0. 83 328
0. 84 158
0. 85 47
0. 86 54
0. 87 135
0. 88 21
0. 89 69
0. 90 39
0. 91 163
0. 92 59
0. 93 23
0. 94 331
0. 95 56
0. 96 191
0. 97 48
0. 98 243
0. 99 64
0. 100 249
0. 101 997
0. 102 50
0. 103 160
0. 104 191
0. 105 332
0. 106 37
0. 107 104
0. 108 241
0. 109 995
0. 110 241
0. 111 496
0. 112 31
0. 113 74
0. 114 99
0. 115 329
0. 116 324
0. 117 52
0. 118 37
0. 119 134
0. 120 28
0. 121 1000
0. 122 191
0. 123 196
0. 124 23
0. 125 45
0. 126 31
0. 127 121
0. 128 245
0. 129 247
0. 130 248
0. 131 61
0. 132 499
0. 133 119
0. 134 198
0. 135 999
0. 136 327
0. 137 156
0. 138 136
0. 139 240
0. 140 325
0. 141 198
0. 142 990
0. 143 103
0. 144 326
0. 145 57
0. 146 81
0. 147 497
0. 148 191
0. 149 16
0. 150 117
0. 151 141
0. 152 74
0. 153 51
0. 154 103
0. 155 160
0. 156 108
0. 157 60
0. 158 34
0. 159 120
0. 160 241
0. 161 82
0. 162 45
0. 163 69
0. 164 140
0. 165 192
0. 166 161
0. 167 327
0. 168 996
0. 169 328
0. 170 993
0. 171 325
0. 172 15
0. 173 107
0. 174 490
0. 175 68
0. 176 192
0. 177 102
0. 178 991
0. 179 41
0. 180 323
0. 181 60
0. 182 86
0. 183 493
0. 184 120
0. 185 193
0. 186 66
0. 187 996
0. 188 14
0. 189 995
0. 190 996
0. 191 51
0. 192 249
0. 193 29
0. 194 97
0. 195 990
0. 196 995
0. 197 332
0. 198 28
0. 199 74
0. 200 35
0. 201 29
0. 202 491
0. 203 249
0. 204 326
0. 205 194
0. 206 165
0. 207 68
0. 208 18
0. 209 22
0. 210 60
0. 211 161
0. 212 35
0. 213 324
0. 214 498
0. 215 192
0. 216 494
0. 217 29
0. 218 48
0. 219 53
0. 220 994
0. 221 59
0. 222 52
0. 223 135
0. 224 73
0. 225 996
0. 226 327
0. 227 136
0. 228 992
0. 229 98
0. 230 41
0. 231 124
0. 232 323
0. 233 102
0. 234 160
0. 235 52
0. 236 33
0. 237 997
0. 238 117
0. 239 46
0. 240 494
0. 241 82
0. 242 990
0. 243 995
0. 244 48
0. 245 330
0. 246 998
0. 247 330
0. 248 58
0. 249 331
0. 250 991
0. 251 123
0. 252 491
0. 253 99
0. 254 33
0. 255 21
0. 256 494
0. 257 244
0. 258 324
0. 259 59
0. 260 327
0. 261 82
0. 262 13
0. 263 37
0. 264 33
0. 265 57
0. 266 163
0. 267 990
0. 268 99
0. 269 71
0. 270 23
0. 271 139
0. 272 192
0. 273 12
0. 274 75
0. 275 490
0. 276 46
0. 277 494
0. 278 994
0. 279 1
0. 280 16
0. 281 54
0. 282 194
0. 283 495
0. 284 31
0. 285 26
0. 286 25
0. 287 45
0. 288 18
0. 289 996
0. 290 992
0. 291 31
0. 292 104
0. 293 331
0. 294 492
0. 295 994
0. 296 248
0. 297 23
0. 298 95
0. 299 75
0. 300 190
0. 301 495
0. 302 245
0. 303 197
0. 304 107
0. 305 19
0. 306 41
0. 307 248
0. 308 249
0. 309 247
0. 310 37
0. 311 498
0. 312 45
0. 313 38
0. 314 86
0. 315 53
0. 316 116
0. 317 28
0. 318 241
0. 319 52
0. 320 55
0. 321 999
0. 322 990
0. 323 329
0. 324 94
0. 325 68
0. 326 994
0. 327 96
0. 328 992
0. 329 993
0. 330 191
0. 331 199
0. 332 197
0. 333 64
0. 334 24
0. 335 241
0. 336 490
0. 337 248
0. 338 248
0. 339 195
0. 340 52
0. 341 158
0. 342 240
0. 343 327
0. 344 62
0. 345 190
0. 346 50
0. 347 37
0. 348 91
0. 349 242
0. 350 132
0. 351 50
0. 352 77
0. 353 21
0. 354 57
0. 355 24
0. 356 197
0. 357 138
0. 358 250
0. 359 245
0. 360 117
0. 361 44
0. 362 990
0. 363 999
0. 364 110
0. 365 98
0. 366 198
0. 367 247
0. 368 44
0. 369 163
0. 370 32
0. 371 192
0. 372 75
0. 373 495
0. 374 33
0. 375 998
0. 376 73
0. 377 65
0. 378 81
0. 379 39
0. 380 493
0. 381 115
0. 382 48
0. 383 998
0. 384 493
0. 385 28
0. 386 196
0. 387 49
0. 388 496
0. 389 248
0. 390 119
0. 391 998
0. 392 326
0. 393 60
0. 394 39
0. 395 23
0. 396 329
0. 397 90
0. 398 57
0. 399 98
0. 400 19
0. 401 199
0. 402 161
0. 403 191
0. 404 141
0. 405 110
0. 406 242
0. 407 62
0. 408 995
0. 409 241
0. 410 26
0. 411 108
0. 412 82
0. 413 60
0. 414 92
0. 415 73
0. 416 332
0. 417 29
0. 418 998
0. 419 121
0. 420 60
0. 421 57
0. 422 243
0. 423 40
0. 424 246
0. 425 42
0. 426 494
0. 427 248
0. 428 26
0. 429 326
0. 430 101
0. 431 98
0. 432 327
0. 433 28
0. 434 115
0. 435 47
0. 436 329
0. 437 55
0. 438 32
0. 439 116
0. 440 99
0. 441 991
0. 442 199
0. 443 45
0. 444 997
0. 445 33
0. 446 999
0. 447 249
0. 448 246
0. 449 122
0. 450 498
0. 451 992
0. 452 87
0. 453 332
0. 454 990
0. 455 328
0. 456 330
0. 457 14
0. 458 31
0. 459 84
0. 460 25
0. 461 90
0. 462 36
0. 463 34
0. 464 81
0. 465 108
0. 466 42
0. 467 249
0. 468 140
0. 469 243
0. 470 240
0. 471 96
0. 472 101
0. 473 115
0. 474 165
0. 475 55
0. 476 82
0. 477 163
0. 478 197
0. 479 102
0. 480 492
0. 481 490
0. 482 123
0. 483 159
0. 484 199
0. 485 124
0. 486 492
0. 487 163
0. 488 20
0. 489 101
0. 490 192
0. 491 81
0. 492 57
0. 493 81
0. 494 46
0. 495 241
0. 496 38
0. 497 165
0. 498 993
0. 499 157
0. 500 993
0. 501 134
0. 502 90
0. 503 66
0. 504 107
0. 505 991
0. 506 45
0. 507 75
0. 508 244
0. 509 106
0. 510 86
0. 511 196
0. 512 490
0. 513 93
0. 514 198
0. 515 492
0. 516 497
0. 517 159
0. 518 999
0. 519 323
0. 520 28
0. 521 56
0. 522 156
0. 523 329
0. 524 198
0. 525 994
0. 526 90
0. 527 82
0. 528 41
0. 529 196
0. 530 135
0. 531 324
0. 532 138
0. 533 323
0. 534 163
0. 535 102
0. 536 55
0. 537 61
0. 538 18
0. 539 993
0. 540 496
0. 541 331
0. 542 26
0. 543 60
0. 544 41
0. 545 61
0. 546 87
0. 547 86
0. 548 138
0. 549 493
0. 550 37
0. 551 157
0. 552 27
0. 553 133
0. 554 498
0. 555 191
0. 556 323
0. 557 52
0. 558 496
0. 559 329
0. 560 492
0. 561 37
0. 562 74
0. 563 70
0. 564 160
0. 565 326
0. 566 41
0. 567 999
0. 568 66
0. 569 332
0. 570 193
0. 571 159
0. 572 45
0. 573 993
0. 574 241
0. 575 25
0. 576 86
0. 577 48
0. 578 246
0. 579 73
0. 580 138
0. 581 82
0. 582 996
0. 583 492
0. 584 332
0. 585 499
0. 586 194
0. 587 198
0. 588 330
0. 589 10
0. 590 195
0. 591 247
0. 592 159
0. 593 325
0. 594 991
0. 595 198
0. 596 324
0. 597 33
0. 598 497
0. 599 161
0. 600 159
0. 601 43
0. 602 244
0. 603 53
0. 604 91
0. 605 325
0. 606 120
0. 607 165
0. 608 24
0. 609 18
0. 610 992
0. 611 995
0. 612 117
0. 613 54
0. 614 109
0. 615 105
0. 616 138
0. 617 496
0. 618 19
0. 619 74
0. 620 61
0. 621 330
0. 622 498
0. 623 158
0. 624 494
0. 625 325
0. 626 46
0. 627 136
0. 628 158
0. 629 247
0. 630 192
0. 631 34
0. 632 324
0. 633 67
0. 634 491
0. 635 497
0. 636 46
0. 637 66
0. 638 124
0. 639 60
0. 640 44
0. 641 39
0. 642 43
0. 643 25
0. 644 103
0. 645 31
0. 646 95
0. 647 492
0. 648 37
0. 649 324
0. 650 69
0. 651 32
0. 652 164
0. 653 47
0. 654 133
0. 655 245
0. 656 24
0. 657 124
0. 658 165
0. 659 50
0. 660 332
0. 661 996
0. 662 102
0. 663 994
0. 664 993
0. 665 88
0. 666 998
0. 667 94
0. 668 80
0. 669 248
0. 670 490
0. 671 49
0. 672 56
0. 673 15
0. 674 197
0. 675 98
0. 676 22
0. 677 991
0. 678 496
0. 679 159
0. 680 997
0. 681 490
0. 682 241
0. 683 27
0. 684 134
0. 685 51
0. 686 24
0. 687 48
0. 688 491
0. 689 195
0. 690 42
0. 691 326
0. 692 330
0. 693 86
0. 694 50
0. 695 115
0. 696 991
0. 697 24
0. 698 246
0. 699 66
0. 700 198
0. 701 328
0. 702 997
0. 703 122
0. 704 69
0. 705 158
0. 706 323
0. 707 136
0. 708 161
0. 709 992
0. 710 324
0. 711 326
0. 712 46
0. 713 996
0. 714 198
0. 715 68
0. 716 99
0. 717 45
0. 718 192
0. 719 490
0. 720 327
0. 721 67
0. 722 196
0. 723 57
0. 724 197
0. 725 331
0. 726 993
0. 727 248
0. 728 326
0. 729 37
0. 730 26
0. 731 996
0. 732 53
0. 733 122
0. 734 995
0. 735 499
0. 736 26
0. 737 20
0. 738 998
0. 739 494
0. 740 497
0. 741 244
0. 742 73
0. 743 118
0. 744 40
0. 745 999
0. 746 123
0. 747 158
0. 748 49
0. 749 327
0. 750 193
0. 751 137
0. 752 194
0. 753 325
0. 754 991
0. 755 75
0. 756 992
0. 757 132
0. 758 994
0. 759 249
0. 760 133
0. 761 325
0. 762 499
0. 763 195
0. 764 242
0. 765 34
0. 766 103
0. 767 25
0. 768 326
0. 769 499
0. 770 197
0. 771 122
0. 772 41
0. 773 42
0. 774 190
0. 775 136
0. 776 25
0. 777 78
0. 778 247
0. 779 165
0. 780 81
0. 781 498
0. 782 134
0. 783 246
0. 784 996
0. 785 324
0. 786 57
0. 787 163
0. 788 492
0. 789 998
0. 790 61
0. 791 29
0. 792 115
0. 793 160
0. 794 70
0. 795 83
0. 796 108
0. 797 43
0. 798 324
0. 799 109
0. 800 53
0. 801 496
0. 802 75
0. 803 104
0. 804 107
0. 805 61
0. 806 490
0. 807 132
0. 808 161
0. 809 164
0. 810 490
0. 811 199
0. 812 995
0. 813 249
0. 814 328
0. 815 242
0. 816 497
0. 817 56
0. 818 81
0. 819 123
0. 820 22
0. 821 27
0. 822 46
0. 823 91
0. 824 134
0. 825 74
0. 826 63
0. 827 990
0. 828 52
0. 829 158
0. 830 110
0. 831 74
0. 832 194
0. 833 56
0. 834 162
0. 835 105
0. 836 48
0. 837 248
0. 838 97
0. 839 996
0. 840 997
