set j job /0*199/;
set i machine /0*4/;
parameter c(i,j)/
0. 0 39
0. 1 41
0. 2 24
0. 3 29
0. 4 50
0. 5 28
0. 6 13
0. 7 30
0. 8 10
0. 9 45
0. 10 29
0. 11 35
0. 12 15
0. 13 11
0. 14 43
0. 15 20
0. 16 18
0. 17 35
0. 18 10
0. 19 43
0. 20 10
0. 21 10
0. 22 16
0. 23 16
0. 24 30
0. 25 25
0. 26 42
0. 27 30
0. 28 44
0. 29 32
0. 30 35
0. 31 43
0. 32 12
0. 33 48
0. 34 12
0. 35 12
0. 36 17
0. 37 10
0. 38 31
0. 39 25
0. 40 27
0. 41 43
0. 42 38
0. 43 31
0. 44 48
0. 45 12
0. 46 31
0. 47 38
0. 48 11
0. 49 15
0. 50 40
0. 51 16
0. 52 35
0. 53 34
0. 54 17
0. 55 27
0. 56 15
0. 57 32
0. 58 28
0. 59 48
0. 60 48
0. 61 30
0. 62 18
0. 63 42
0. 64 19
0. 65 48
0. 66 30
0. 67 49
0. 68 48
0. 69 27
0. 70 50
0. 71 30
0. 72 43
0. 73 15
0. 74 39
0. 75 30
0. 76 24
0. 77 19
0. 78 29
0. 79 22
0. 80 26
0. 81 21
0. 82 18
0. 83 19
0. 84 27
0. 85 31
0. 86 22
0. 87 35
0. 88 13
0. 89 21
0. 90 42
0. 91 15
0. 92 14
0. 93 48
0. 94 38
0. 95 42
0. 96 23
0. 97 13
0. 98 40
0. 99 25
0. 100 32
0. 101 19
0. 102 16
0. 103 29
0. 104 21
0. 105 37
0. 106 13
0. 107 10
0. 108 11
0. 109 31
0. 110 16
0. 111 43
0. 112 19
0. 113 17
0. 114 15
0. 115 30
0. 116 21
0. 117 10
0. 118 38
0. 119 25
0. 120 42
0. 121 42
0. 122 28
0. 123 21
0. 124 13
0. 125 48
0. 126 30
0. 127 12
0. 128 13
0. 129 22
0. 130 16
0. 131 12
0. 132 26
0. 133 21
0. 134 33
0. 135 49
0. 136 32
0. 137 48
0. 138 35
0. 139 11
0. 140 42
0. 141 16
0. 142 50
0. 143 49
0. 144 11
0. 145 39
0. 146 33
0. 147 48
0. 148 12
0. 149 26
0. 150 21
0. 151 21
0. 152 21
0. 153 48
0. 154 30
0. 155 13
0. 156 36
0. 157 46
0. 158 49
0. 159 43
0. 160 42
0. 161 23
0. 162 31
0. 163 16
0. 164 49
0. 165 31
0. 166 33
0. 167 31
0. 168 50
0. 169 17
0. 170 32
0. 171 49
0. 172 28
0. 173 33
0. 174 16
0. 175 28
0. 176 47
0. 177 27
0. 178 48
0. 179 47
0. 180 44
0. 181 25
0. 182 44
0. 183 47
0. 184 18
0. 185 24
0. 186 21
0. 187 37
0. 188 40
0. 189 21
0. 190 16
0. 191 20
0. 192 23
0. 193 33
0. 194 46
0. 195 23
0. 196 42
0. 197 20
0. 198 27
0. 199 37
1. 0 29
1. 1 27
1. 2 27
1. 3 38
1. 4 11
1. 5 29
1. 6 39
1. 7 48
1. 8 33
1. 9 33
1. 10 50
1. 11 24
1. 12 38
1. 13 41
1. 14 12
1. 15 43
1. 16 39
1. 17 26
1. 18 30
1. 19 38
1. 20 24
1. 21 48
1. 22 14
1. 23 30
1. 24 18
1. 25 17
1. 26 38
1. 27 37
1. 28 32
1. 29 45
1. 30 17
1. 31 50
1. 32 33
1. 33 22
1. 34 14
1. 35 33
1. 36 32
1. 37 37
1. 38 33
1. 39 12
1. 40 20
1. 41 16
1. 42 43
1. 43 33
1. 44 44
1. 45 34
1. 46 25
1. 47 28
1. 48 38
1. 49 13
1. 50 20
1. 51 19
1. 52 35
1. 53 42
1. 54 35
1. 55 38
1. 56 31
1. 57 10
1. 58 39
1. 59 42
1. 60 50
1. 61 12
1. 62 39
1. 63 46
1. 64 23
1. 65 22
1. 66 44
1. 67 29
1. 68 17
1. 69 23
1. 70 28
1. 71 26
1. 72 47
1. 73 48
1. 74 45
1. 75 27
1. 76 33
1. 77 17
1. 78 16
1. 79 23
1. 80 31
1. 81 17
1. 82 48
1. 83 44
1. 84 40
1. 85 14
1. 86 24
1. 87 47
1. 88 47
1. 89 37
1. 90 12
1. 91 40
1. 92 48
1. 93 38
1. 94 44
1. 95 46
1. 96 30
1. 97 29
1. 98 18
1. 99 35
1. 100 16
1. 101 39
1. 102 50
1. 103 33
1. 104 49
1. 105 23
1. 106 47
1. 107 16
1. 108 22
1. 109 50
1. 110 32
1. 111 45
1. 112 17
1. 113 19
1. 114 21
1. 115 33
1. 116 49
1. 117 21
1. 118 43
1. 119 18
1. 120 38
1. 121 26
1. 122 17
1. 123 11
1. 124 25
1. 125 47
1. 126 13
1. 127 25
1. 128 25
1. 129 40
1. 130 14
1. 131 44
1. 132 43
1. 133 25
1. 134 32
1. 135 13
1. 136 29
1. 137 29
1. 138 14
1. 139 32
1. 140 31
1. 141 40
1. 142 33
1. 143 29
1. 144 21
1. 145 26
1. 146 25
1. 147 46
1. 148 39
1. 149 48
1. 150 25
1. 151 35
1. 152 39
1. 153 19
1. 154 46
1. 155 36
1. 156 22
1. 157 10
1. 158 47
1. 159 41
1. 160 42
1. 161 35
1. 162 43
1. 163 23
1. 164 34
1. 165 13
1. 166 27
1. 167 28
1. 168 16
1. 169 20
1. 170 48
1. 171 43
1. 172 41
1. 173 25
1. 174 14
1. 175 31
1. 176 50
1. 177 36
1. 178 36
1. 179 41
1. 180 29
1. 181 50
1. 182 18
1. 183 15
1. 184 27
1. 185 47
1. 186 23
1. 187 11
1. 188 45
1. 189 32
1. 190 35
1. 191 26
1. 192 22
1. 193 28
1. 194 48
1. 195 42
1. 196 10
1. 197 42
1. 198 41
1. 199 16
2. 0 19
2. 1 21
2. 2 17
2. 3 36
2. 4 40
2. 5 12
2. 6 44
2. 7 25
2. 8 14
2. 9 34
2. 10 47
2. 11 37
2. 12 42
2. 13 29
2. 14 24
2. 15 39
2. 16 46
2. 17 47
2. 18 50
2. 19 16
2. 20 20
2. 21 20
2. 22 23
2. 23 35
2. 24 48
2. 25 17
2. 26 27
2. 27 26
2. 28 38
2. 29 38
2. 30 31
2. 31 36
2. 32 33
2. 33 44
2. 34 10
2. 35 19
2. 36 19
2. 37 15
2. 38 22
2. 39 24
2. 40 50
2. 41 35
2. 42 20
2. 43 29
2. 44 23
2. 45 39
2. 46 39
2. 47 21
2. 48 40
2. 49 25
2. 50 38
2. 51 26
2. 52 44
2. 53 16
2. 54 50
2. 55 39
2. 56 25
2. 57 34
2. 58 32
2. 59 42
2. 60 24
2. 61 18
2. 62 29
2. 63 23
2. 64 33
2. 65 50
2. 66 48
2. 67 16
2. 68 12
2. 69 18
2. 70 47
2. 71 39
2. 72 35
2. 73 43
2. 74 16
2. 75 33
2. 76 46
2. 77 19
2. 78 50
2. 79 40
2. 80 20
2. 81 18
2. 82 35
2. 83 35
2. 84 50
2. 85 27
2. 86 27
2. 87 49
2. 88 47
2. 89 13
2. 90 50
2. 91 14
2. 92 43
2. 93 49
2. 94 22
2. 95 35
2. 96 23
2. 97 28
2. 98 43
2. 99 32
2. 100 18
2. 101 13
2. 102 47
2. 103 39
2. 104 32
2. 105 50
2. 106 27
2. 107 41
2. 108 21
2. 109 40
2. 110 42
2. 111 50
2. 112 19
2. 113 50
2. 114 21
2. 115 16
2. 116 19
2. 117 29
2. 118 22
2. 119 34
2. 120 24
2. 121 45
2. 122 38
2. 123 45
2. 124 48
2. 125 42
2. 126 29
2. 127 43
2. 128 28
2. 129 39
2. 130 43
2. 131 50
2. 132 40
2. 133 41
2. 134 24
2. 135 34
2. 136 49
2. 137 36
2. 138 18
2. 139 27
2. 140 28
2. 141 19
2. 142 30
2. 143 43
