set j job /0*99/;
set i machine /0*19/;
parameter c(i,j)/
0. 0 34
0. 1 28
0. 2 28
0. 3 11
0. 4 10
0. 5 21
0. 6 36
0. 7 32
0. 8 45
0. 9 15
0. 10 19
0. 11 33
0. 12 43
0. 13 32
0. 14 35
0. 15 28
0. 16 18
0. 17 25
0. 18 21
0. 19 31
0. 20 39
0. 21 34
0. 22 35
0. 23 24
0. 24 26
0. 25 50
0. 26 32
0. 27 26
0. 28 11
0. 29 31
0. 30 28
0. 31 43
0. 32 20
0. 33 17
0. 34 33
0. 35 27
0. 36 23
0. 37 44
0. 38 25
0. 39 45
0. 40 30
0. 41 13
0. 42 17
0. 43 14
0. 44 33
0. 45 26
0. 46 25
0. 47 36
0. 48 13
0. 49 50
0. 50 32
0. 51 17
0. 52 39
0. 53 14
0. 54 49
0. 55 14
0. 56 47
0. 57 35
0. 58 34
0. 59 11
0. 60 31
0. 61 33
0. 62 19
0. 63 29
0. 64 49
0. 65 19
0. 66 41
0. 67 17
0. 68 41
0. 69 40
0. 70 23
0. 71 36
0. 72 35
0. 73 32
0. 74 18
0. 75 29
0. 76 50
0. 77 15
0. 78 24
0. 79 27
0. 80 34
0. 81 34
0. 82 24
0. 83 29
0. 84 29
0. 85 21
0. 86 34
0. 87 34
0. 88 14
0. 89 29
0. 90 40
0. 91 23
0. 92 32
0. 93 42
0. 94 11
0. 95 10
0. 96 29
0. 97 46
0. 98 28
0. 99 43
1. 0 30
1. 1 24
1. 2 30
1. 3 25
1. 4 48
1. 5 33
1. 6 35
1. 7 14
1. 8 33
1. 9 41
1. 10 43
1. 11 12
1. 12 18
1. 13 42
1. 14 34
1. 15 28
1. 16 31
1. 17 31
1. 18 40
1. 19 37
1. 20 47
1. 21 25
1. 22 22
1. 23 41
1. 24 33
1. 25 37
1. 26 48
1. 27 33
1. 28 47
1. 29 47
1. 30 13
1. 31 11
1. 32 33
1. 33 16
1. 34 28
1. 35 20
1. 36 33
1. 37 37
1. 38 41
1. 39 36
1. 40 37
1. 41 24
1. 42 36
1. 43 33
1. 44 37
1. 45 31
1. 46 23
1. 47 29
1. 48 25
1. 49 20
1. 50 25
1. 51 46
1. 52 33
1. 53 30
1. 54 40
1. 55 16
1. 56 45
1. 57 40
1. 58 34
1. 59 12
1. 60 42
1. 61 30
1. 62 21
1. 63 43
1. 64 43
1. 65 29
1. 66 26
1. 67 19
1. 68 49
1. 69 43
1. 70 16
1. 71 48
1. 72 29
1. 73 45
1. 74 21
1. 75 39
1. 76 18
1. 77 19
1. 78 38
1. 79 13
1. 80 20
1. 81 44
1. 82 47
1. 83 33
1. 84 38
1. 85 32
1. 86 32
1. 87 28
1. 88 31
1. 89 31
1. 90 21
1. 91 11
1. 92 46
1. 93 26
1. 94 37
1. 95 20
1. 96 47
1. 97 38
1. 98 14
1. 99 48
2. 0 46
2. 1 26
2. 2 25
2. 3 13
2. 4 11
2. 5 21
2. 6 41
2. 7 48
2. 8 19
2. 9 46
2. 10 47
2. 11 11
2. 12 22
2. 13 33
2. 14 28
2. 15 39
2. 16 19
2. 17 39
2. 18 25
2. 19 44
2. 20 30
2. 21 25
2. 22 43
2. 23 44
2. 24 26
2. 25 40
2. 26 13
2. 27 41
2. 28 29
2. 29 13
2. 30 50
2. 31 40
2. 32 27
2. 33 25
2. 34 12
2. 35 25
2. 36 19
2. 37 31
2. 38 42
2. 39 26
2. 40 36
2. 41 46
2. 42 21
2. 43 22
2. 44 30
2. 45 42
2. 46 38
2. 47 11
2. 48 29
2. 49 35
2. 50 48
2. 51 40
2. 52 36
2. 53 42
2. 54 38
2. 55 30
2. 56 42
2. 57 15
2. 58 23
2. 59 46
2. 60 44
2. 61 50
2. 62 48
2. 63 40
2. 64 14
2. 65 13
2. 66 50
2. 67 23
2. 68 41
2. 69 31
2. 70 33
2. 71 10
2. 72 33
2. 73 12
2. 74 18
2. 75 13
2. 76 36
2. 77 39
2. 78 44
2. 79 50
2. 80 13
2. 81 26
2. 82 50
2. 83 41
2. 84 33
2. 85 15
2. 86 46
2. 87 40
2. 88 48
2. 89 39
2. 90 25
2. 91 30
2. 92 20
2. 93 34
2. 94 34
2. 95 39
2. 96 38
2. 97 24
2. 98 50
2. 99 38
3. 0 20
3. 1 14
3. 2 48
3. 3 24
3. 4 32
3. 5 40
3. 6 18
3. 7 42
3. 8 27
3. 9 35
3. 10 43
3. 11 39
3. 12 10
3. 13 34
3. 14 30
3. 15 41
3. 16 41
3. 17 40
3. 18 13
3. 19 13
3. 20 11
3. 21 11
3. 22 21
3. 23 33
3. 24 43
3. 25 16
3. 26 12
3. 27 19
3. 28 24
3. 29 32
3. 30 11
3. 31 27
3. 32 13
3. 33 15
3. 34 23
3. 35 41
3. 36 27
3. 37 41
3. 38 45
3. 39 13
3. 40 22
3. 41 39
3. 42 11
3. 43 14
3. 44 34
3. 45 21
3. 46 27
3. 47 43
3. 48 34
3. 49 48
3. 50 30
3. 51 36
3. 52 34
3. 53 16
3. 54 17
3. 55 24
3. 56 27
3. 57 45
3. 58 13
3. 59 30
3. 60 33
3. 61 26
3. 62 16
3. 63 38
3. 64 31
3. 65 26
3. 66 40
3. 67 21
3. 68 28
3. 69 25
3. 70 46
3. 71 43
3. 72 36
3. 73 15
3. 74 32
3. 75 42
3. 76 30
3. 77 48
3. 78 45
3. 79 18
3. 80 19
3. 81 11
3. 82 47
3. 83 26
3. 84 30
3. 85 31
3. 86 23
3. 87 23
3. 88 44
3. 89 45
3. 90 12
3. 91 29
3. 92 19
3. 93 17
3. 94 31
3. 95 46
3. 96 37
3. 97 38
3. 98 44
3. 99 38
4. 0 16
4. 1 24
4. 2 12
4. 3 11
4. 4 35
4. 5 12
4. 6 10
4. 7 12
4. 8 40
4. 9 33
4. 10 50
4. 11 28
4. 12 38
4. 13 21
4. 14 41
4. 15 47
4. 16 10
4. 17 17
4. 18 12
4. 19 17
4. 20 39
4. 21 22
4. 22 45
4. 23 45
4. 24 29
4. 25 34
4. 26 22
4. 27 36
4. 28 29
4. 29 40
4. 30 42
4. 31 30
4. 32 26
4. 33 44
4. 34 19
4. 35 12
4. 36 22
4. 37 34
4. 38 35
4. 39 49
4. 40 37
4. 41 36
4. 42 13
4. 43 19
4. 44 44
4. 45 46
4. 46 13
4. 47 33
4. 48 37
4. 49 31
4. 50 40
4. 51 43
4. 52 28
4. 53 20
4. 54 12
4. 55 11
4. 56 43
4. 57 44
4. 58 45
4. 59 41
4. 60 39
4. 61 20
4. 62 27
4. 63 44
4. 64 29
4. 65 33
4. 66 26
4. 67 25
4. 68 31
4. 69 42
4. 70 19
4. 71 20
4. 72 50
4. 73 11
4. 74 31
4. 75 30
4. 76 26
4. 77 12
4. 78 28
4. 79 26
4. 80 24
4. 81 29
4. 82 49
4. 83 23
4. 84 26
4. 85 42
4. 86 41
4. 87 15
4. 88 17
4. 89 33
4. 90 35
4. 91 22
4. 92 11
4. 93 49
4. 94 14
4. 95 38
4. 96 48
4. 97 37
4. 98 35
4. 99 40
5. 0 10
5. 1 39
5. 2 20
5. 3 27
5. 4 40
5. 5 16
5. 6 41
5. 7 28
5. 8 47
5. 9 50
5. 10 11
5. 11 19
5. 12 25
5. 13 27
5. 14 22
5. 15 13
5. 16 36
5. 17 48
5. 18 38
5. 19 49
5. 20 40
5. 21 46
5. 22 12
5. 23 32
5. 24 47
5. 25 28
5. 26 45
5. 27 37
5. 28 39
5. 29 41
5. 30 12
5. 31 14
5. 32 24
5. 33 26
5. 34 39
5. 35 36
5. 36 23
5. 37 46
5. 38 25
5. 39 27
5. 40 43
5. 41 41
5. 42 36
5. 43 31
5. 44 22
5. 45 19
5. 46 29
5. 47 36
5. 48 19
5. 49 38
5. 50 16
5. 51 14
5. 52 13
5. 53 26
5. 54 43
5. 55 50
5. 56 37
5. 57 25
5. 58 20
5. 59 15
5. 60 13
5. 61 47
5. 62 49
5. 63 34
5. 64 47
5. 65 43
5. 66 19
5. 67 44
5. 68 28
5. 69 31
5. 70 10
5. 71 12
5. 72 21
5. 73 32
5. 74 38
5. 75 30
5. 76 13
5. 77 17
5. 78 20
5. 79 41
5. 80 48
5. 81 12
5. 82 12
5. 83 44
5. 84 14
5. 85 16
5. 86 32
5. 87 22
5. 88 29
5. 89 22
5. 90 29
5. 91 17
5. 92 37
5. 93 38
5. 94 38
5. 95 36
5. 96 50
5. 97 47
5. 98 50
5. 99 36
6. 0 19
6. 1 44
6. 2 25
6. 3 15
6. 4 28
6. 5 24
6. 6 14
6. 7 14
6. 8 10
6. 9 13
6. 10 33
6. 11 28
6. 12 28
6. 13 49
6. 14 47
6. 15 15
6. 16 11
6. 17 38
6. 18 13
6. 19 28
6. 20 22
6. 21 43
6. 22 22
6. 23 33
6. 24 26
6. 25 14
6. 26 36
6. 27 44
6. 28 36
6. 29 36
6. 30 41
6. 31 26
6. 32 11
6. 33 16
6. 34 24
6. 35 37
6. 36 20
6. 37 20
6. 38 29
6. 39 10
6. 40 38
6. 41 18
6. 42 26
6. 43 47
6. 44 22
6. 45 21
6. 46 42
6. 47 38
6. 48 29
6. 49 10
6. 50 22
6. 51 32
6. 52 12
6. 53 27
6. 54 13
6. 55 45
6. 56 34
6. 57 36
6. 58 26
6. 59 50
6. 60 44
6. 61 45
6. 62 49
6. 63 17
6. 64 36
6. 65 17
6. 66 44
6. 67 50
6. 68 27
6. 69 20
6. 70 49
6. 71 32
6. 72 14
6. 73 20
6. 74 42
6. 75 33
6. 76 44
6. 77 47
6. 78 25
6. 79 49
6. 80 24
6. 81 33
6. 82 16
6. 83 50
6. 84 26
6. 85 35
6. 86 41
6. 87 21
6. 88 47
6. 89 21
6. 90 33
6. 91 16
6. 92 23
6. 93 28
6. 94 34
6. 95 42
6. 96 17
6. 97 13
6. 98 47
6. 99 30
7. 0 35
7. 1 23
7. 2 23
7. 3 45
7. 4 34
7. 5 26
7. 6 50
7. 7 14
7. 8 20
7. 9 39
7. 10 50
7. 11 14
7. 12 49
7. 13 23
7. 14 40
7. 15 22
7. 16 45
7. 17 46
7. 18 48
7. 19 40
7. 20 22
7. 21 28
7. 22 46
7. 23 34
7. 24 41
7. 25 19
7. 26 17
7. 27 40
7. 28 13
7. 29 33
7. 30 36
7. 31 47
7. 32 22
7. 33 27
7. 34 46
7. 35 40
7. 36 43
7. 37 24
7. 38 17
7. 39 26
7. 40 35
7. 41 30
7. 42 28
7. 43 49
7. 44 47
7. 45 36
7. 46 19
7. 47 24
7. 48 45
7. 49 35
7. 50 40
7. 51 49
7. 52 15
7. 53 10
7. 54 15
7. 55 42
7. 56 34
7. 57 50
7. 58 48
7. 59 19
7. 60 16
7. 61 41
7. 62 20
7. 63 15
7. 64 40
7. 65 28
7. 66 36
7. 67 38
7. 68 40
7. 69 18
7. 70 42
7. 71 30
7. 72 44
7. 73 10
7. 74 20
7. 75 14
7. 76 17
7. 77 28
7. 78 46
7. 79 14
7. 80 35
7. 81 19
7. 82 46
7. 83 22
7. 84 12
7. 85 25
7. 86 20
7. 87 28
7. 88 16
7. 89 31
7. 90 35
7. 91 18
7. 92 30
7. 93 22
7. 94 13
7. 95 22
7. 96 15
7. 97 23
7. 98 14
7. 99 10
8. 0 40
8. 1 33
8. 2 19
8. 3 40
8. 4 34
8. 5 12
8. 6 29
8. 7 46
8. 8 12
8. 9 11
8. 10 11
8. 11 44
8. 12 17
8. 13 14
8. 14 40
8. 15 46
8. 16 15
8. 17 23
8. 18 19
8. 19 29
8. 20 34
8. 21 32
8. 22 34
8. 23 24
8. 24 36
8. 25 18
8. 26 29
8. 27 41
8. 28 27
8. 29 44
8. 30 26
8. 31 35
8. 32 31
8. 33 31
8. 34 13
8. 35 36
8. 36 30
8. 37 22
8. 38 39
8. 39 22
8. 40 19
8. 41 19
8. 42 15
8. 43 50
8. 44 30
8. 45 33
8. 46 18
8. 47 31
8. 48 37
8. 49 19
8. 50 17
8. 51 50
8. 52 47
8. 53 42
8. 54 42
8. 55 11
8. 56 25
8. 57 13
8. 58 50
8. 59 13
8. 60 29
8. 61 46
8. 62 20
8. 63 20
8. 64 13
8. 65 34
8. 66 49
8. 67 48
8. 68 50
8. 69 30
8. 70 22
8. 71 14
8. 72 36
8. 73 22
8. 74 40
8. 75 19
8. 76 21
8. 77 48
8. 78 44
8. 79 42
8. 80 27
8. 81 42
8. 82 20
8. 83 25
8. 84 48
8. 85 46
8. 86 41
8. 87 25
8. 88 46
8. 89 46
8. 90 17
8. 91 12
8. 92 50
8. 93 18
8. 94 50
8. 95 21
8. 96 44
8. 97 42
8. 98 36
8. 99 35
9. 0 22
9. 1 20
9. 2 10
9. 3 40
9. 4 38
9. 5 11
9. 6 29
9. 7 29
9. 8 17
9. 9 28
9. 10 40
9. 11 48
9. 12 27
9. 13 21
9. 14 42
9. 15 18
9. 16 25
9. 17 31
9. 18 36
9. 19 16
9. 20 38
9. 21 15
9. 22 39
9. 23 37
9. 24 28
9. 25 33
9. 26 31
9. 27 45
9. 28 30
9. 29 33
9. 30 47
9. 31 45
9. 32 32
9. 33 18
9. 34 23
9. 35 26
9. 36 10
9. 37 34
9. 38 13
9. 39 43
9. 40 35
9. 41 26
9. 42 34
9. 43 48
9. 44 12
9. 45 27
9. 46 14
9. 47 20
9. 48 40
9. 49 21
9. 50 17
9. 51 49
9. 52 35
9. 53 41
9. 54 26
9. 55 15
9. 56 19
9. 57 39
9. 58 24
9. 59 42
9. 60 14
9. 61 47
9. 62 39
9. 63 11
9. 64 39
9. 65 49
9. 66 19
9. 67 49
9. 68 37
9. 69 39
9. 70 25
9. 71 34
9. 72 45
9. 73 50
9. 74 40
9. 75 31
9. 76 13
9. 77 25
9. 78 39
9. 79 32
9. 80 28
9. 81 40
9. 82 38
9. 83 11
9. 84 47
9. 85 18
9. 86 13
9. 87 47
9. 88 32
9. 89 23
9. 90 33
