iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-10,-19,-24,-10,-16,-17,-11,-11,-21,-10,-18,-27,-37,-13,-13,-11,-11,-11,-18,-19,-23,-27,-15,-18,-21,-11,-17,-27,-16,-12,-11,-11,-14,-10,-25,-12,-32,-26,-12,-12,-15,-15,-22,-13,-11,-13,-22,-10,-13,-16,-14,-20,-11,-19,-17,-31,-11,-23,-19,-11,-20,-15,-39,-15,-10,-11,-20,-10,-28,-20,-10,-11,-20,-21,-14,-21,-29,-22,-18,-21,-17,-11,-13,-13,-15,-23,-19,-13,-16,-17,-10,-16,-10,-10,-18,-11,-16,-21,-27,-17
1,-20.0,-29.0,-34.0,-20.0,-26.0,-27.0,-21.0,-21.0,-31.0,-20.0,-28.0,-37.0,-47.0,-23.0,-23.0,-21.0,-21.0,-21.0,-28.0,-29.0,-33.0,-37.0,-25.0,-28.0,-31.0,-21.0,-27.0,-37.0,-26.0,-22.0,-21.0,-21.0,-24.0,-20.0,-35.0,-22.0,-42.0,-36.0,-22.0,-22.0,-25.0,-25.0,-32.0,-23.0,-21.0,-23.0,-32.0,-20.0,-23.0,-26.0,-24.0,-30.0,-21.0,-29.0,-27.0,-41.0,-21.0,-33.0,-29.0,-21.0,-30.0,-25.0,-49.0,-25.0,-20.0,-21.0,-30.0,-20.0,-38.0,-30.0,-20.0,-21.0,-30.0,-31.0,-24.0,-31.0,-39.0,-32.0,-28.0,-31.0,-27.0,-21.0,-23.0,-23.0,-25.0,-33.0,-29.0,-23.0,-26.0,-27.0,-20.0,-26.0,-20.0,-20.0,-28.0,-21.0,-26.0,-31.0,-37.0,-27.0
2,-15.0,-24.0,-29.0,-25.0,-26.0,-22.0,-21.0,-21.0,-26.0,-20.0,-33.0,-37.0,-27.0,-23.0,-23.0,-11.0,-16.0,-16.0,-28.0,-29.0,-23.0,-27.0,-20.0,-28.0,-31.0,-21.0,-27.0,-42.0,-26.0,-22.0,-21.0,-21.0,-19.0,-20.0,-30.0,-27.0,-32.0,-41.0,-22.0,-22.0,-25.0,-20.0,-27.0,-28.0,-21.0,-23.0,-27.0,-20.0,-23.0,-26.0,-29.0,-30.0,-21.0,-34.0,-27.0,-31.0,-21.0,-38.0,-29.0,-16.0,-30.0,-25.0,-44.0,-20.0,-20.0,-21.0,-30.0,-20.0,-33.0,-25.0,-20.0,-21.0,-25.0,-36.0,-19.0,-31.0,-39.0,-32.0,-28.0,-26.0,-27.0,-21.0,-23.0,-23.0,-25.0,-33.0,-29.0,-23.0,-26.0,-27.0,-15.0,-31.0,-25.0,-20.0,-18.0,-26.0,-26.0,-26.0,-22.0,-27.0
3,-15.0,-27.33,-29.0,-21.67,-22.67,-22.0,-17.67,-21.0,-26.0,-20.0,-33.0,-37.0,-30.33,-23.0,-23.0,-14.33,-19.33,-16.0,-28.0,-29.0,-26.33,-30.33,-20.0,-24.67,-27.67,-14.33,-27.0,-35.33,-19.33,-22.0,-21.0,-21.0,-19.0,-16.67,-30.0,-27.0,-35.33,-37.67,-22.0,-22.0,-25.0,-16.67,-30.33,-28.0,-21.0,-23.0,-27.0,-20.0,-19.67,-26.0,-29.0,-30.0,-17.67,-30.67,-27.0,-34.33,-21.0,-38.0,-29.0,-16.0,-30.0,-25.0,-44.0,-23.33,-20.0,-21.0,-30.0,-20.0,-33.0,-25.0,-20.0,-21.0,-25.0,-32.67,-15.67,-31.0,-39.0,-32.0,-28.0,-22.67,-27.0,-17.67,-23.0,-23.0,-21.67,-33.0,-29.0,-23.0,-22.67,-23.67,-18.33,-27.67,-25.0,-20.0,-21.33,-26.0,-22.67,-26.0,-25.33,-27.0
4,-12.5,-24.83,-29.0,-21.67,-22.67,-22.0,-17.67,-21.0,-26.0,-20.0,-33.0,-37.0,-32.83,-23.0,-23.0,-14.33,-14.33,-16.0,-28.0,-29.0,-28.83,-30.33,-17.5,-24.67,-27.67,-16.83,-27.0,-32.83,-19.33,-22.0,-21.0,-21.0,-19.0,-14.17,-30.0,-27.0,-35.33,-35.17,-22.0,-22.0,-25.0,-19.17,-27.83,-28.0,-21.0,-23.0,-24.5,-20.0,-17.17,-26.0,-29.0,-30.0,-17.67,-28.17,-27.0,-34.33,-21.0,-38.0,-29.0,-13.5,-30.0,-25.0,-41.5,-20.83,-20.0,-18.5,-30.0,-20.0,-30.5,-25.0,-20.0,-18.5,-25.0,-30.17,-13.17,-28.5,-39.0,-32.0,-28.0,-22.67,-27.0,-17.67,-23.0,-23.0,-21.67,-33.0,-29.0,-23.0,-22.67,-23.67,-15.83,-25.17,-25.0,-20.0,-21.33,-26.0,-25.17,-26.0,-27.83,-27.0
5,-12.5,-26.83,-29.0,-21.67,-22.67,-22.0,-15.67,-21.0,-26.0,-20.0,-33.0,-37.0,-34.83,-23.0,-23.0,-14.33,-14.33,-14.0,-28.0,-29.0,-24.83,-30.33,-17.5,-24.67,-27.67,-14.83,-27.0,-30.83,-19.33,-22.0,-21.0,-21.0,-17.0,-14.17,-30.0,-27.0,-35.33,-33.17,-22.0,-22.0,-25.0,-17.17,-25.83,-28.0,-21.0,-23.0,-26.5,-20.0,-17.17,-26.0,-29.0,-30.0,-15.67,-26.17,-27.0,-34.33,-21.0,-38.0,-29.0,-13.5,-30.0,-25.0,-41.5,-22.83,-20.0,-18.5,-30.0,-18.0,-30.5,-25.0,-20.0,-16.5,-23.0,-28.17,-15.17,-28.5,-39.0,-32.0,-26.0,-22.67,-27.0,-17.67,-23.0,-23.0,-19.67,-33.0,-29.0,-23.0,-24.67,-23.67,-15.83,-23.17,-25.0,-20.0,-21.33,-26.0,-23.17,-24.0,-29.83,-27.0
6,-12.5,-25.17,-27.33,-20.0,-22.67,-22.0,-15.67,-21.0,-26.0,-20.0,-33.0,-37.0,-36.5,-23.0,-23.0,-14.33,-14.33,-14.0,-28.0,-29.0,-24.83,-30.33,-17.5,-24.67,-26.0,-16.5,-27.0,-30.83,-19.33,-22.0,-21.0,-21.0,-17.0,-14.17,-30.0,-27.0,-35.33,-33.17,-22.0,-22.0,-25.0,-15.5,-27.5,-28.0,-21.0,-23.0,-24.83,-20.0,-17.17,-26.0,-27.33,-30.0,-15.67,-24.5,-27.0,-34.33,-21.0,-38.0,-29.0,-13.5,-30.0,-25.0,-41.5,-21.17,-20.0,-18.5,-30.0,-18.0,-28.83,-23.33,-20.0,-16.5,-23.0,-28.17,-15.17,-28.5,-39.0,-30.33,-26.0,-22.67,-27.0,-16.0,-23.0,-23.0,-19.67,-33.0,-29.0,-23.0,-23.0,-23.67,-15.83,-21.5,-25.0,-20.0,-21.33,-26.0,-21.5,-24.0,-29.83,-27.0
7,-12.5,-23.74,-25.9,-20.0,-22.67,-22.0,-15.67,-21.0,-26.0,-20.0,-33.0,-37.0,-37.93,-23.0,-23.0,-14.33,-14.33,-14.0,-28.0,-29.0,-24.83,-30.33,-17.5,-23.24,-26.0,-13.64,-27.0,-32.26,-19.33,-22.0,-21.0,-21.0,-17.0,-14.17,-30.0,-27.0,-35.33,-33.17,-22.0,-22.0,-25.0,-15.5,-26.07,-28.0,-21.0,-23.0,-24.83,-20.0,-15.74,-26.0,-27.33,-30.0,-15.67,-24.5,-27.0,-32.9,-21.0,-38.0,-29.0,-13.5,-30.0,-25.0,-41.5,-19.74,-20.0,-18.5,-30.0,-18.0,-30.26,-23.33,-20.0,-16.5,-23.0,-28.17,-13.74,-28.5,-39.0,-30.33,-26.0,-22.67,-27.0,-16.0,-23.0,-23.0,-18.24,-33.0,-27.57,-23.0,-21.57,-23.67,-15.83,-21.5,-25.0,-20.0,-19.9,-26.0,-22.93,-22.57,-28.4,-27.0
8,-12.5,-22.49,-27.15,-18.75,-22.67,-22.0,-15.67,-21.0,-26.0,-20.0,-33.0,-37.0,-39.18,-23.0,-23.0,-13.08,-14.33,-14.0,-28.0,-29.0,-24.83,-30.33,-17.5,-23.24,-24.75,-13.64,-27.0,-31.01,-19.33,-20.75,-21.0,-21.0,-15.75,-14.17,-30.0,-27.0,-35.33,-31.92,-22.0,-22.0,-25.0,-16.75,-24.82,-28.0,-21.0,-23.0,-24.83,-20.0,-15.74,-26.0,-27.33,-30.0,-15.67,-23.25,-27.0,-32.9,-21.0,-38.0,-29.0,-12.25,-30.0,-25.0,-41.5,-20.99,-20.0,-18.5,-30.0,-18.0,-29.01,-23.33,-20.0,-16.5,-23.0,-28.17,-14.99,-27.25,-39.0,-30.33,-26.0,-22.67,-27.0,-16.0,-23.0,-23.0,-18.24,-31.75,-27.57,-23.0,-21.57,-23.67,-15.83,-20.25,-25.0,-20.0,-19.9,-26.0,-21.68,-22.57,-28.4,-27.0
9,-11.39,-23.6,-26.04,-18.75,-21.56,-22.0,-14.56,-21.0,-26.0,-20.0,-33.0,-37.0,-36.96,-23.0,-23.0,-13.08,-14.33,-14.0,-28.0,-29.0,-24.83,-29.22,-17.5,-23.24,-24.75,-14.75,-27.0,-31.01,-19.33,-20.75,-21.0,-21.0,-15.75,-14.17,-30.0,-27.0,-35.33,-31.92,-22.0,-22.0,-25.0,-15.64,-25.93,-28.0,-21.0,-23.0,-24.83,-20.0,-14.63,-26.0,-27.33,-30.0,-14.56,-23.25,-27.0,-32.9,-21.0,-38.0,-29.0,-12.25,-30.0,-25.0,-41.5,-19.88,-20.0,-18.5,-30.0,-18.0,-30.12,-23.33,-20.0,-16.5,-23.0,-28.17,-13.88,-27.25,-39.0,-30.33,-26.0,-22.67,-27.0,-16.0,-23.0,-23.0,-18.24,-31.75,-26.46,-23.0,-20.46,-22.56,-15.83,-20.25,-25.0,-20.0,-19.9,-26.0,-21.68,-21.46,-27.29,-27.0
