set j job /0*199/;
set i machine /0*9/;
parameter c(i,j)/
0. 0 48
0. 1 29
0. 2 18
0. 3 43
0. 4 32
0. 5 19
0. 6 22
0. 7 15
0. 8 38
0. 9 36
0. 10 12
0. 11 17
0. 12 11
0. 13 15
0. 14 38
0. 15 37
0. 16 43
0. 17 44
0. 18 42
0. 19 22
0. 20 25
0. 21 50
0. 22 30
0. 23 48
0. 24 50
0. 25 45
0. 26 29
0. 27 44
0. 28 42
0. 29 14
0. 30 14
0. 31 14
0. 32 12
0. 33 14
0. 34 44
0. 35 37
0. 36 48
0. 37 17
0. 38 30
0. 39 44
0. 40 22
0. 41 49
0. 42 26
0. 43 46
0. 44 42
0. 45 38
0. 46 27
0. 47 39
0. 48 40
0. 49 21
0. 50 49
0. 51 44
0. 52 43
0. 53 27
0. 54 16
0. 55 44
0. 56 17
0. 57 31
0. 58 20
0. 59 47
0. 60 25
0. 61 26
0. 62 25
0. 63 49
0. 64 19
0. 65 47
0. 66 26
0. 67 22
0. 68 46
0. 69 15
0. 70 38
0. 71 36
0. 72 13
0. 73 29
0. 74 18
0. 75 35
0. 76 47
0. 77 26
0. 78 22
0. 79 25
0. 80 27
0. 81 44
0. 82 24
0. 83 18
0. 84 44
0. 85 19
0. 86 17
0. 87 25
0. 88 41
0. 89 13
0. 90 32
0. 91 37
0. 92 12
0. 93 26
0. 94 33
0. 95 28
0. 96 20
0. 97 19
0. 98 23
0. 99 50
0. 100 21
0. 101 15
0. 102 44
0. 103 34
0. 104 36
0. 105 43
0. 106 13
0. 107 34
0. 108 23
0. 109 28
0. 110 44
0. 111 31
0. 112 48
0. 113 20
0. 114 32
0. 115 27
0. 116 24
0. 117 32
0. 118 27
0. 119 13
0. 120 16
0. 121 14
0. 122 33
0. 123 35
0. 124 23
0. 125 47
0. 126 33
0. 127 31
0. 128 30
0. 129 16
0. 130 25
0. 131 27
0. 132 50
0. 133 27
0. 134 37
0. 135 39
0. 136 15
0. 137 25
0. 138 10
0. 139 33
0. 140 16
0. 141 21
0. 142 24
0. 143 11
0. 144 50
0. 145 48
0. 146 31
0. 147 48
0. 148 23
0. 149 41
0. 150 33
0. 151 27
0. 152 20
0. 153 43
0. 154 12
0. 155 40
0. 156 43
0. 157 10
0. 158 18
0. 159 11
0. 160 50
0. 161 28
0. 162 36
0. 163 43
0. 164 13
0. 165 31
0. 166 44
0. 167 50
0. 168 22
0. 169 20
0. 170 23
0. 171 40
0. 172 32
0. 173 31
0. 174 13
0. 175 42
0. 176 45
0. 177 11
0. 178 31
0. 179 39
0. 180 45
0. 181 28
0. 182 17
0. 183 46
0. 184 36
0. 185 15
0. 186 47
0. 187 27
0. 188 20
0. 189 49
0. 190 14
0. 191 42
0. 192 20
0. 193 35
0. 194 34
0. 195 45
0. 196 36
0. 197 12
0. 198 42
0. 199 23
1. 0 31
1. 1 21
1. 2 37
1. 3 40
1. 4 42
1. 5 13
1. 6 12
1. 7 33
1. 8 26
1. 9 27
1. 10 18
1. 11 14
1. 12 13
1. 13 26
1. 14 35
1. 15 47
1. 16 29
1. 17 41
1. 18 32
1. 19 34
1. 20 28
1. 21 18
1. 22 38
1. 23 35
1. 24 30
1. 25 48
1. 26 11
1. 27 38
1. 28 47
1. 29 50
1. 30 44
1. 31 37
1. 32 39
1. 33 48
1. 34 11
1. 35 40
1. 36 20
1. 37 11
1. 38 17
1. 39 17
1. 40 14
1. 41 38
1. 42 29
1. 43 12
1. 44 21
1. 45 36
1. 46 14
1. 47 45
1. 48 29
1. 49 14
1. 50 33
1. 51 35
1. 52 23
1. 53 29
1. 54 23
1. 55 20
1. 56 30
1. 57 21
1. 58 12
1. 59 46
1. 60 17
1. 61 27
1. 62 14
1. 63 46
1. 64 27
1. 65 31
1. 66 42
1. 67 22
1. 68 25
1. 69 37
1. 70 17
1. 71 24
1. 72 11
1. 73 15
1. 74 38
1. 75 44
1. 76 43
1. 77 27
1. 78 40
1. 79 15
1. 80 50
1. 81 19
1. 82 11
1. 83 22
1. 84 46
1. 85 37
1. 86 16
1. 87 28
1. 88 33
1. 89 25
1. 90 17
1. 91 32
1. 92 46
1. 93 39
1. 94 35
1. 95 45
1. 96 41
1. 97 49
1. 98 36
1. 99 30
1. 100 38
1. 101 31
1. 102 35
1. 103 43
1. 104 43
1. 105 41
1. 106 30
1. 107 22
1. 108 13
1. 109 17
1. 110 27
1. 111 12
1. 112 48
1. 113 50
1. 114 23
1. 115 50
1. 116 18
1. 117 48
1. 118 16
1. 119 47
1. 120 38
1. 121 32
1. 122 19
1. 123 18
1. 124 29
1. 125 26
1. 126 19
1. 127 26
1. 128 30
1. 129 50
1. 130 34
1. 131 46
1. 132 45
1. 133 24
1. 134 49
1. 135 20
1. 136 39
1. 137 24
1. 138 46
1. 139 39
1. 140 38
1. 141 34
1. 142 47
1. 143 49
1. 144 44
1. 145 48
1. 146 14
1. 147 26
1. 148 30
1. 149 36
1. 150 18
1. 151 23
1. 152 26
1. 153 49
1. 154 24
1. 155 45
1. 156 32
1. 157 23
1. 158 32
1. 159 21
1. 160 48
1. 161 50
1. 162 11
1. 163 29
1. 164 36
1. 165 14
1. 166 28
1. 167 24
1. 168 33
1. 169 23
1. 170 18
1. 171 44
1. 172 20
1. 173 32
1. 174 42
1. 175 13
1. 176 43
1. 177 22
1. 178 28
1. 179 43
1. 180 11
1. 181 23
1. 182 49
1. 183 22
1. 184 43
1. 185 25
1. 186 13
1. 187 11
1. 188 43
1. 189 27
1. 190 17
1. 191 20
1. 192 49
1. 193 12
1. 194 38
1. 195 38
1. 196 44
1. 197 50
1. 198 17
1. 199 38
2. 0 44
2. 1 46
2. 2 14
2. 3 45
2. 4 29
2. 5 17
2. 6 32
2. 7 38
2. 8 34
2. 9 14
2. 10 40
2. 11 47
2. 12 17
2. 13 43
2. 14 50
2. 15 29
2. 16 39
2. 17 24
2. 18 20
2. 19 37
2. 20 10
2. 21 50
2. 22 27
2. 23 13
2. 24 14
2. 25 13
2. 26 36
2. 27 32
2. 28 25
2. 29 26
2. 30 15
2. 31 46
2. 32 31
2. 33 47
2. 34 37
2. 35 30
2. 36 18
2. 37 43
2. 38 27
2. 39 50
2. 40 28
2. 41 12
2. 42 40
2. 43 46
2. 44 27
2. 45 14
2. 46 35
2. 47 27
2. 48 27
2. 49 17
2. 50 13
2. 51 16
2. 52 12
2. 53 26
2. 54 32
2. 55 28
2. 56 29
2. 57 34
2. 58 21
2. 59 26
2. 60 22
2. 61 48
2. 62 13
2. 63 31
2. 64 20
2. 65 12
2. 66 19
2. 67 46
2. 68 23
2. 69 50
2. 70 33
2. 71 16
2. 72 22
2. 73 32
2. 74 31
2. 75 26
2. 76 24
2. 77 27
2. 78 15
2. 79 37
2. 80 43
2. 81 42
2. 82 14
2. 83 26
2. 84 45
2. 85 23
2. 86 32
2. 87 11
2. 88 40
2. 89 46
2. 90 24
2. 91 16
2. 92 38
2. 93 28
2. 94 38
2. 95 14
2. 96 20
2. 97 36
2. 98 30
2. 99 36
2. 100 47
2. 101 29
2. 102 10
2. 103 23
2. 104 35
2. 105 39
2. 106 31
2. 107 32
2. 108 33
2. 109 19
2. 110 31
2. 111 42
2. 112 27
2. 113 46
2. 114 19
2. 115 41
2. 116 31
2. 117 38
2. 118 25
2. 119 27
2. 120 18
2. 121 49
2. 122 50
2. 123 15
2. 124 40
2. 125 10
2. 126 28
2. 127 16
2. 128 23
2. 129 38
2. 130 33
2. 131 46
2. 132 10
2. 133 21
2. 134 30
2. 135 37
2. 136 30
2. 137 28
2. 138 29
2. 139 47
2. 140 45
2. 141 17
2. 142 40
2. 143 18
2. 144 26
2. 145 47
2. 146 36
2. 147 12
2. 148 17
2. 149 32
2. 150 41
2. 151 21
2. 152 40
2. 153 32
2. 154 35
2. 155 18
2. 156 43
2. 157 46
2. 158 36
2. 159 15
2. 160 46
2. 161 10
2. 162 43
2. 163 16
2. 164 44
2. 165 34
2. 166 39
2. 167 19
2. 168 36
2. 169 22
2. 170 31
2. 171 32
2. 172 13
2. 173 16
2. 174 32
2. 175 26
2. 176 25
2. 177 49
2. 178 49
2. 179 34
2. 180 12
2. 181 19
2. 182 21
2. 183 15
2. 184 44
2. 185 12
2. 186 10
2. 187 35
2. 188 19
2. 189 34
2. 190 30
2. 191 30
2. 192 48
2. 193 13
2. 194 50
2. 195 29
2. 196 37
2. 197 45
2. 198 18
2. 199 13
3. 0 21
3. 1 33
3. 2 14
3. 3 50
3. 4 16
3. 5 22
3. 6 30
3. 7 43
3. 8 38
3. 9 47
3. 10 14
3. 11 15
3. 12 31
3. 13 21
3. 14 25
3. 15 32
3. 16 32
3. 17 37
3. 18 23
3. 19 15
3. 20 31
3. 21 42
3. 22 50
3. 23 35
3. 24 13
3. 25 14
3. 26 18
3. 27 23
3. 28 48
3. 29 38
3. 30 21
3. 31 19
3. 32 22
3. 33 22
3. 34 12
3. 35 18
3. 36 15
3. 37 46
3. 38 12
3. 39 43
3. 40 19
3. 41 23
3. 42 22
3. 43 47
3. 44 10
3. 45 28
3. 46 22
3. 47 10
3. 48 32
3. 49 20
3. 50 10
