iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-14,-20,-13,-11,-10,-12,-13,-19,-19,-16,-11,-10,-24,-14,-17,-19,-18,-26,-14,-11,-14,-15,-10,-14,-15,-13,-17,-23,-12,-21,-13,-12,-12,-26,-13,-12,-10,-13,-17,-11,-24,-23,-10,-31,-10,-16,-14,-16,-16,-12,-13,-14,-16,-10,-27,-14,-15,-22,-11,-21,-13,-17,-16,-24,-12,-10,-17,-14,-12,-30,-10,-16,-15,-18,-16,-22,-15,-34,-12,-15,-12,-13,-13,-17,-10,-19,-13,-18,-10,-25,-11,-14,-25,-19,-15,-12,-12,-12,-12,-10
1,-146.04,-152.04,-145.04,-143.04,-142.04,-144.04,-145.04,-151.04,-151.04,-148.04,-143.04,-142.04,-156.04,-146.04,-149.04,-151.04,-150.04,-158.04,-146.04,-143.04,-146.04,-147.04,-142.04,-146.04,-147.04,-145.04,-149.04,-155.04,-144.04,-153.04,-145.04,-144.04,-144.04,-158.04,-145.04,-144.04,-142.04,-145.04,-149.04,-143.04,-156.04,-155.04,-142.04,-163.04,-142.04,-148.04,-146.04,-148.04,-148.04,-144.04,-145.04,-146.04,-148.04,-142.04,-159.04,-146.04,-147.04,-154.04,-143.04,-153.04,-145.04,-149.04,-148.04,-156.04,-144.04,-142.04,-149.04,-146.04,-144.04,-162.04,-142.04,-148.04,-147.04,-150.04,-148.04,-154.04,-147.04,-166.04,-144.04,-147.04,-144.04,-145.04,-145.04,-149.04,-142.04,-151.04,-145.04,-150.04,-142.04,-157.04,-143.04,-146.04,-157.04,-151.04,-147.04,-144.04,-144.04,-144.04,-144.04,-142.04
2,-137.78,-143.78,-128.52,-143.04,-133.78,-135.78,-153.3,-151.04,-151.04,-131.52,-143.04,-125.52,-147.78,-146.04,-157.3,-159.3,-150.04,-141.52,-146.04,-143.04,-146.04,-155.3,-133.78,-137.78,-155.3,-145.04,-157.3,-155.04,-144.04,-153.04,-136.78,-144.04,-152.3,-158.04,-136.78,-152.3,-150.3,-145.04,-157.3,-151.3,-164.3,-146.78,-142.04,-163.04,-133.78,-156.3,-146.04,-139.78,-148.04,-144.04,-153.3,-137.78,-148.04,-133.78,-134.26,-137.78,-155.3,-154.04,-134.78,-153.04,-136.78,-149.04,-139.78,-156.04,-144.04,-142.04,-157.3,-121.26,-135.78,-162.04,-133.78,-156.3,-130.52,-158.3,-148.04,-120.99,-122.26,-157.78,-135.78,-147.04,-144.04,-145.04,-128.52,-149.04,-142.04,-134.52,-136.78,-141.78,-142.04,-157.04,-143.04,-121.26,-140.52,-142.78,-147.04,-144.04,-152.3,-144.04,-152.3,-150.3
3,-127.66,-133.66,-108.28,-143.04,-123.66,-125.66,-163.42,-140.92,-151.04,-111.28,-143.04,-125.52,-147.78,-135.92,-167.42,-159.3,-150.04,-121.28,-146.04,-143.04,-146.04,-155.3,-123.66,-127.66,-165.42,-145.04,-167.42,-155.04,-123.8,-153.04,-126.66,-133.92,-152.3,-158.04,-126.66,-162.42,-160.42,-145.04,-167.42,-161.42,-174.42,-136.66,-121.8,-163.04,-123.66,-166.42,-146.04,-129.66,-148.04,-144.04,-163.42,-127.66,-148.04,-123.66,-114.02,-127.66,-165.42,-154.04,-134.78,-153.04,-126.66,-149.04,-129.66,-156.04,-133.92,-142.04,-167.42,-90.9,-125.66,-162.04,-133.78,-166.42,-130.52,-168.42,-148.04,-100.75,-91.9,-157.78,-125.66,-147.04,-133.92,-145.04,-108.28,-138.92,-142.04,-114.28,-126.66,-131.66,-142.04,-157.04,-143.04,-111.14,-140.52,-132.66,-147.04,-144.04,-162.42,-144.04,-162.42,-160.42
4,-110.51,-116.51,-91.12,-143.04,-123.66,-125.66,-180.57,-140.92,-151.04,-111.28,-143.04,-91.21,-130.63,-135.92,-167.42,-176.45,-150.04,-86.97,-146.04,-143.04,-146.04,-155.3,-106.51,-127.66,-165.42,-145.04,-184.57,-155.04,-123.8,-153.04,-109.51,-133.92,-169.45,-140.89,-109.51,-162.42,-177.57,-145.04,-167.42,-161.42,-191.57,-119.51,-121.8,-163.04,-106.51,-166.42,-146.04,-112.51,-148.04,-144.04,-180.57,-110.51,-148.04,-106.51,-114.02,-110.51,-165.42,-154.04,-117.63,-153.04,-109.51,-149.04,-129.66,-156.04,-116.77,-142.04,-167.42,-73.74,-108.51,-162.04,-116.63,-166.42,-130.52,-151.27,-113.73,-83.6,-57.59,-140.63,-108.51,-147.04,-116.77,-127.89,-91.12,-138.92,-142.04,-79.97,-126.66,-114.51,-142.04,-157.04,-143.04,-93.98,-140.52,-115.51,-147.04,-144.04,-179.57,-144.04,-162.42,-177.57
5,-110.51,-116.51,-91.12,-115.69,-96.31,-98.31,-153.22,-113.57,-151.04,-138.63,-115.69,-91.21,-130.63,-108.57,-167.42,-149.1,-150.04,-86.97,-146.04,-143.04,-118.69,-155.3,-79.15,-127.66,-165.42,-145.04,-211.93,-155.04,-96.45,-153.04,-82.15,-106.57,-142.1,-140.89,-109.51,-162.42,-177.57,-145.04,-167.42,-161.42,-164.22,-92.15,-121.8,-163.04,-79.15,-166.42,-146.04,-85.15,-148.04,-144.04,-207.93,-110.51,-148.04,-79.15,-114.02,-110.51,-165.42,-154.04,-117.63,-125.69,-82.15,-149.04,-102.31,-156.04,-116.77,-142.04,-167.42,-46.39,-81.15,-162.04,-116.63,-139.07,-103.17,-151.27,-113.73,-110.95,-84.94,-140.63,-108.51,-119.69,-116.77,-127.89,-91.12,-138.92,-142.04,-107.32,-126.66,-114.51,-142.04,-157.04,-143.04,-121.33,-113.17,-115.51,-147.04,-116.69,-179.57,-144.04,-162.42,-204.93
6,-93.92,-99.92,-74.53,-115.69,-112.9,-98.31,-153.22,-113.57,-151.04,-105.45,-115.69,-91.21,-130.63,-125.16,-150.83,-149.1,-150.04,-86.97,-146.04,-143.04,-118.69,-155.3,-95.74,-111.07,-165.42,-145.04,-211.93,-138.45,-96.45,-153.04,-98.74,-106.57,-158.69,-140.89,-109.51,-162.42,-160.98,-145.04,-167.42,-161.42,-180.81,-92.15,-138.39,-163.04,-95.74,-166.42,-146.04,-85.15,-148.04,-110.86,-207.93,-93.92,-148.04,-79.15,-97.43,-110.51,-148.83,-154.04,-101.04,-125.69,-98.74,-149.04,-102.31,-156.04,-116.77,-142.04,-150.83,-62.98,-97.74,-162.04,-100.04,-155.66,-119.76,-134.68,-113.73,-61.18,-68.35,-140.63,-108.51,-119.69,-116.77,-127.89,-74.53,-138.92,-142.04,-74.14,-110.07,-114.51,-142.04,-157.04,-143.04,-71.56,-113.17,-115.51,-147.04,-116.69,-179.57,-144.04,-162.42,-188.34
7,-93.92,-99.92,-105.2,-115.69,-82.23,-98.31,-153.22,-113.57,-151.04,-105.45,-115.69,-91.21,-130.63,-63.83,-181.5,-149.1,-150.04,-56.31,-146.04,-143.04,-118.69,-155.3,-95.74,-111.07,-165.42,-145.04,-211.93,-138.45,-96.45,-153.04,-98.74,-106.57,-128.03,-110.22,-109.51,-162.42,-130.32,-145.04,-136.75,-161.42,-150.15,-92.15,-77.06,-163.04,-65.08,-166.42,-146.04,-85.15,-148.04,-110.86,-177.26,-124.58,-148.04,-79.15,-97.43,-110.51,-148.83,-154.04,-131.7,-125.69,-98.74,-149.04,-102.31,-156.04,-116.77,-111.37,-150.83,-62.98,-67.08,-131.37,-130.7,-124.99,-119.76,-165.35,-113.73,-91.85,-99.02,-140.63,-77.84,-119.69,-116.77,-127.89,-74.53,-138.92,-142.04,-104.81,-110.07,-114.51,-142.04,-157.04,-143.04,-102.23,-113.17,-115.51,-147.04,-116.69,-148.91,-144.04,-162.42,-188.34
8,-93.92,-99.92,-69.9,-115.69,-99.88,-98.31,-135.57,-113.57,-151.04,-105.45,-115.69,-91.21,-112.98,-81.47,-163.85,-131.45,-132.39,-73.95,-146.04,-125.39,-118.69,-137.65,-78.1,-93.42,-130.12,-145.04,-194.28,-138.45,-96.45,-153.04,-81.1,-106.57,-145.68,-110.22,-109.51,-162.42,-147.97,-145.04,-154.4,-161.42,-167.8,-92.15,-94.71,-163.04,-82.73,-166.42,-146.04,-85.15,-148.04,-110.86,-194.91,-106.93,-148.04,-79.15,-97.43,-110.51,-148.83,-154.04,-114.05,-125.69,-81.1,-149.04,-102.31,-156.04,-116.77,-111.37,-150.83,-45.33,-84.73,-131.37,-95.4,-142.64,-102.11,-147.7,-113.73,-74.2,-63.72,-122.98,-77.84,-119.69,-116.77,-127.89,-74.53,-121.27,-124.39,-69.51,-110.07,-96.86,-142.04,-157.04,-143.04,-84.58,-113.17,-97.86,-147.04,-116.69,-166.56,-144.04,-162.42,-188.34
9,-93.92,-99.92,-95.05,-115.69,-125.03,-73.16,-135.57,-113.57,-151.04,-105.45,-115.69,-91.21,-112.98,-106.62,-138.7,-156.6,-132.39,-99.1,-146.04,-125.39,-118.69,-137.65,-78.1,-93.42,-155.27,-145.04,-194.28,-138.45,-96.45,-153.04,-106.25,-81.42,-145.68,-110.22,-84.36,-162.42,-122.82,-145.04,-129.25,-161.42,-142.65,-92.15,-119.86,-163.04,-57.58,-141.27,-146.04,-60.0,-122.89,-110.86,-169.76,-81.78,-148.04,-54.0,-97.43,-110.51,-123.68,-154.04,-88.9,-125.69,-106.25,-149.04,-102.31,-156.04,-91.62,-111.37,-125.68,-70.48,-59.58,-131.37,-120.55,-142.64,-127.26,-122.55,-113.73,-74.2,-88.87,-122.98,-77.84,-119.69,-91.62,-102.74,-74.53,-121.27,-124.39,-94.66,-110.07,-96.86,-142.04,-131.89,-143.04,-109.73,-113.17,-97.86,-147.04,-116.69,-166.56,-144.04,-137.27,-163.19
