set j job /0*199/;
set i machine /0*19/;
parameter c(i,j)/
0. 0 41
0. 1 30
0. 2 19
0. 3 32
0. 4 27
0. 5 16
0. 6 32
0. 7 16
0. 8 16
0. 9 25
0. 10 20
0. 11 31
0. 12 44
0. 13 38
0. 14 38
0. 15 13
0. 16 19
0. 17 20
0. 18 26
0. 19 19
0. 20 39
0. 21 26
0. 22 19
0. 23 46
0. 24 47
0. 25 40
0. 26 40
0. 27 31
0. 28 36
0. 29 31
0. 30 19
0. 31 42
0. 32 31
0. 33 33
0. 34 47
0. 35 48
0. 36 38
0. 37 36
0. 38 15
0. 39 26
0. 40 37
0. 41 45
0. 42 48
0. 43 33
0. 44 14
0. 45 49
0. 46 38
0. 47 10
0. 48 28
0. 49 19
0. 50 26
0. 51 38
0. 52 13
0. 53 22
0. 54 23
0. 55 38
0. 56 13
0. 57 40
0. 58 15
0. 59 31
0. 60 16
0. 61 13
0. 62 48
0. 63 25
0. 64 46
0. 65 45
0. 66 49
0. 67 30
0. 68 44
0. 69 10
0. 70 12
0. 71 40
0. 72 35
0. 73 14
0. 74 21
0. 75 40
0. 76 35
0. 77 47
0. 78 24
0. 79 48
0. 80 18
0. 81 42
0. 82 31
0. 83 19
0. 84 28
0. 85 20
0. 86 26
0. 87 23
0. 88 46
0. 89 26
0. 90 25
0. 91 47
0. 92 31
0. 93 28
0. 94 16
0. 95 50
0. 96 36
0. 97 10
0. 98 17
0. 99 35
0. 100 26
0. 101 24
0. 102 25
0. 103 13
0. 104 12
0. 105 32
0. 106 41
0. 107 49
0. 108 34
0. 109 24
0. 110 43
0. 111 15
0. 112 34
0. 113 48
0. 114 37
0. 115 10
0. 116 28
0. 117 26
0. 118 28
0. 119 18
0. 120 17
0. 121 50
0. 122 35
0. 123 46
0. 124 30
0. 125 50
0. 126 26
0. 127 47
0. 128 16
0. 129 25
0. 130 36
0. 131 20
0. 132 13
0. 133 50
0. 134 48
0. 135 26
0. 136 36
0. 137 24
0. 138 19
0. 139 36
0. 140 24
0. 141 19
0. 142 11
0. 143 47
0. 144 22
0. 145 25
0. 146 16
0. 147 36
0. 148 42
0. 149 17
0. 150 21
0. 151 40
0. 152 27
0. 153 32
0. 154 27
0. 155 12
0. 156 49
0. 157 22
0. 158 14
0. 159 28
0. 160 27
0. 161 12
