set j job /0*399/;
set i machine /0*19/;
parameter c(i,j)/
0. 0 12
0. 1 35
0. 2 12
0. 3 44
0. 4 36
0. 5 11
0. 6 33
0. 7 26
0. 8 12
0. 9 43
0. 10 29
0. 11 50
0. 12 29
0. 13 25
0. 14 38
0. 15 16
0. 16 16
0. 17 25
0. 18 39
0. 19 25
0. 20 38
0. 21 16
0. 22 36
0. 23 50
0. 24 25
0. 25 35
0. 26 39
0. 27 39
0. 28 20
0. 29 30
0. 30 27
0. 31 28
0. 32 24
0. 33 19
0. 34 40
0. 35 35
0. 36 37
0. 37 30
0. 38 23
0. 39 50
0. 40 22
0. 41 24
0. 42 39
0. 43 10
0. 44 49
0. 45 15
0. 46 13
0. 47 48
0. 48 12
0. 49 15
0. 50 30
0. 51 32
0. 52 48
0. 53 19
0. 54 30
0. 55 36
0. 56 25
0. 57 22
0. 58 37
0. 59 26
0. 60 36
0. 61 43
0. 62 18
0. 63 39
0. 64 35
0. 65 19
0. 66 22
0. 67 20
0. 68 14
0. 69 40
0. 70 40
0. 71 43
0. 72 34
0. 73 10
0. 74 22
0. 75 33
0. 76 20
0. 77 26
0. 78 42
0. 79 30
0. 80 34
0. 81 11
0. 82 36
0. 83 13
0. 84 19
0. 85 45
0. 86 40
0. 87 21
0. 88 43
0. 89 32
0. 90 18
0. 91 35
0. 92 42
0. 93 20
0. 94 28
0. 95 12
0. 96 47
0. 97 39
0. 98 30
0. 99 50
0. 100 13
0. 101 17
0. 102 23
0. 103 43
0. 104 45
0. 105 39
0. 106 10
0. 107 23
0. 108 35
0. 109 36
0. 110 34
0. 111 26
0. 112 15
0. 113 22
0. 114 29
0. 115 36
0. 116 29
0. 117 16
0. 118 45
0. 119 38
0. 120 47
0. 121 26
0. 122 37
0. 123 27
0. 124 41
0. 125 47
0. 126 46
0. 127 10
0. 128 42
0. 129 11
0. 130 17
0. 131 44
0. 132 25
0. 133 32
0. 134 32
0. 135 38
0. 136 35
0. 137 37
0. 138 38
0. 139 43
0. 140 50
0. 141 40
0. 142 21
0. 143 13
0. 144 32
0. 145 30
0. 146 24
0. 147 36
0. 148 19
0. 149 30
0. 150 29
0. 151 31
0. 152 28
0. 153 18
0. 154 27
0. 155 41
0. 156 19
0. 157 23
0. 158 24
0. 159 44
0. 160 28
0. 161 48
0. 162 19
0. 163 37
0. 164 19
0. 165 46
0. 166 11
0. 167 49
0. 168 46
0. 169 26
0. 170 20
0. 171 21
0. 172 40
0. 173 41
0. 174 37
0. 175 40
0. 176 20
0. 177 28
0. 178 38
0. 179 24
0. 180 32
0. 181 33
0. 182 15
0. 183 17
0. 184 39
0. 185 38
0. 186 48
0. 187 22
0. 188 25
0. 189 18
0. 190 41
0. 191 39
0. 192 34
0. 193 25
0. 194 34
0. 195 16
0. 196 32
0. 197 33
0. 198 27
0. 199 49
0. 200 21
0. 201 40
0. 202 38
0. 203 47
0. 204 46
0. 205 17
0. 206 38
0. 207 28
0. 208 21
0. 209 24
0. 210 50
0. 211 45
0. 212 12
0. 213 26
0. 214 32
0. 215 47
0. 216 36
0. 217 42
0. 218 38
0. 219 34
0. 220 11
0. 221 39
0. 222 12
0. 223 33
0. 224 31
0. 225 38
0. 226 23
0. 227 42
0. 228 38
0. 229 20
0. 230 28
0. 231 43
0. 232 50
0. 233 44
0. 234 11
0. 235 34
0. 236 50
0. 237 39
0. 238 25
0. 239 10
0. 240 17
0. 241 36
0. 242 43
0. 243 12
0. 244 50
0. 245 23
0. 246 30
0. 247 40
0. 248 38
0. 249 45
0. 250 20
0. 251 50
0. 252 29
0. 253 18
0. 254 20
0. 255 16
0. 256 12
0. 257 31
0. 258 31
0. 259 44
0. 260 38
0. 261 49
0. 262 45
0. 263 29
0. 264 39
0. 265 16
0. 266 25
0. 267 13
0. 268 16
0. 269 29
0. 270 39
0. 271 14
0. 272 13
0. 273 15
0. 274 40
0. 275 35
0. 276 12
0. 277 50
0. 278 40
0. 279 33
0. 280 44
0. 281 30
0. 282 21
0. 283 34
0. 284 37
0. 285 27
0. 286 26
0. 287 10
0. 288 35
0. 289 43
0. 290 21
0. 291 27
0. 292 11
0. 293 48
0. 294 32
0. 295 41
0. 296 42
0. 297 28
0. 298 46
0. 299 49
0. 300 12
0. 301 42
0. 302 44
0. 303 19
0. 304 37
0. 305 47
0. 306 30
0. 307 13
0. 308 34
0. 309 23
0. 310 18
0. 311 13
0. 312 38
0. 313 35
0. 314 28
0. 315 28
0. 316 10
0. 317 26
0. 318 37
0. 319 33
0. 320 16
0. 321 44
0. 322 44
0. 323 28
0. 324 46
0. 325 44
0. 326 25
0. 327 18
0. 328 13
0. 329 44
0. 330 41
0. 331 33
0. 332 50
0. 333 25
0. 334 47
0. 335 35
0. 336 18
0. 337 27
0. 338 43
0. 339 40
0. 340 31
0. 341 35
0. 342 42
0. 343 39
0. 344 25
0. 345 30
0. 346 31
0. 347 20
0. 348 33
0. 349 28
0. 350 19
0. 351 50
0. 352 20
0. 353 15
0. 354 28
0. 355 37
0. 356 45
0. 357 32
0. 358 23
0. 359 19
0. 360 50
0. 361 39
0. 362 24
0. 363 14
0. 364 39
0. 365 18
0. 366 17
0. 367 27
0. 368 30
0. 369 24
0. 370 29
0. 371 41
0. 372 20
0. 373 28
0. 374 30
0. 375 42
0. 376 35
0. 377 37
0. 378 22
0. 379 36
0. 380 48
0. 381 21
0. 382 26
0. 383 20
0. 384 49
0. 385 34
0. 386 29
0. 387 35
0. 388 19
0. 389 23
0. 390 28
0. 391 11
0. 392 31
0. 393 41
0. 394 48
0. 395 34
0. 396 35
0. 397 35
0. 398 48
0. 399 31
1. 0 47
1. 1 42
1. 2 23
1. 3 13
1. 4 43
