set j job /0*1599/;
set i machine /0*39/;
parameter c(i,j)/
0. 0 68
0. 1 58
0. 2 5
0. 3 80
0. 4 54
0. 5 102
0. 6 64
0. 7 81
0. 8 22
0. 9 16
0. 10 48
0. 11 50
0. 12 86
0. 13 74
0. 14 99
0. 15 19
0. 16 69
0. 17 36
0. 18 84
0. 19 36
0. 20 67
0. 21 21
0. 22 79
0. 23 58
0. 24 44
0. 25 89
0. 26 26
0. 27 40
0. 28 44
0. 29 33
0. 30 51
0. 31 8
0. 32 41
0. 33 38
0. 34 104
0. 35 74
0. 36 34
0. 37 30
0. 38 24
0. 39 78
0. 40 91
0. 41 20
0. 42 86
0. 43 74
0. 44 66
0. 45 66
0. 46 16
0. 47 2
0. 48 86
0. 49 32
0. 50 64
0. 51 44
0. 52 84
0. 53 37
0. 54 19
0. 55 93
0. 56 100
0. 57 13
0. 58 102
0. 59 45
0. 60 26
0. 61 56
0. 62 113
0. 63 72
0. 64 14
0. 65 91
0. 66 27
0. 67 53
0. 68 67
0. 69 73
0. 70 83
0. 71 89
0. 72 109
0. 73 25
0. 74 65
0. 75 34
0. 76 5
0. 77 62
0. 78 35
0. 79 68
0. 80 40
0. 81 15
0. 82 84
0. 83 28
0. 84 58
0. 85 98
0. 86 94
0. 87 60
0. 88 109
0. 89 77
0. 90 97
0. 91 45
0. 92 84
0. 93 112
0. 94 23
0. 95 85
0. 96 51
0. 97 97
0. 98 43
0. 99 89
0. 100 30
0. 101 7
0. 102 93
0. 103 54
0. 104 52
0. 105 26
0. 106 96
0. 107 69
0. 108 50
0. 109 12
0. 110 48
0. 111 18
0. 112 96
0. 113 75
0. 114 66
0. 115 30
0. 116 44
0. 117 87
0. 118 95
0. 119 66
0. 120 104
0. 121 9
0. 122 56
0. 123 42
0. 124 104
0. 125 97
0. 126 110
0. 127 62
0. 128 36
0. 129 38
0. 130 33
0. 131 85
0. 132 16
0. 133 64
0. 134 42
0. 135 4
0. 136 31
0. 137 60
0. 138 61
0. 139 48
0. 140 40
0. 141 39
0. 142 21
0. 143 72
0. 144 35
0. 145 81
0. 146 73
0. 147 22
0. 148 51
0. 149 107
0. 150 68
0. 151 49
0. 152 74
0. 153 89
0. 154 74
0. 155 54
0. 156 62
0. 157 83
0. 158 98
0. 159 64
0. 160 47
0. 161 68
0. 162 98
0. 163 86
0. 164 50
0. 165 50
0. 166 52
0. 167 30
0. 168 13
0. 169 30
0. 170 15
0. 171 34
0. 172 110
0. 173 66
0. 174 35
0. 175 78
0. 176 51
0. 177 75
0. 178 22
0. 179 95
0. 180 42
0. 181 88
0. 182 71
0. 183 29
0. 184 63
0. 185 53
0. 186 91
0. 187 11
0. 188 113
0. 189 19
0. 190 7
0. 191 93
0. 192 35
0. 193 98
0. 194 68
0. 195 27
0. 196 15
0. 197 23
0. 198 102
0. 199 74
0. 200 99
0. 201 104
0. 202 30
0. 203 30
0. 204 32
0. 205 47
0. 206 46
0. 207 88
0. 208 113
0. 209 110
0. 210 81
0. 211 53
0. 212 98
0. 213 41
0. 214 21
0. 215 53
0. 216 29
0. 217 110
0. 218 92
0. 219 84
0. 220 22
0. 221 86
0. 222 91
0. 223 63
0. 224 88
0. 225 9
0. 226 33
0. 227 60
0. 228 26
0. 229 64
0. 230 105
0. 231 55
0. 232 45
0. 233 77
0. 234 54
0. 235 92
0. 236 110
0. 237 10
0. 238 69
0. 239 101
0. 240 27
0. 241 83
0. 242 20
0. 243 13
0. 244 92
0. 245 27
0. 246 6
0. 247 29
0. 248 86
